x_true,y_true,x_est,y_est,Error_m,,,,
0,1,1.6219300152995075,2.1384310957877997,1.98159 ,,,,1.9815858130260398
0.75,2.25,0,2.7362537441205608,0.89384 ,,,,0.8938359489700913
1,1.75,0,0,2.01556 ,,,,2.0155644370746373
1.25,0.75,2.2386933848248303,0.9645863132231678,1.01171 ,,,,1.011712357846385
1.25,4,0,2.29937612083876,2.11060 ,,,,2.110597445836942
1.75,2.5,0.5847052789465216,3.4568456982634514,1.50780 ,,,,1.507801537736441
2,0,3.5482120845535277,2.115431726316963,2.62145 ,,,,2.6214522783117653
2.25,1.25,3.641185596516036,1.0387098642188428,1.40714 ,,,,1.407139255877718
2.5,2,1.0239378155512293,2.825381534474741,1.69116 ,,,,1.691157665568635
2.75,0.5,1.6747381459216644,0,1.18583 ,,,,1.1858280039010631
3,2.75,4.411782242478622,3.5656514581865038,1.63047 ,,,,1.6304650874580957
3.25,1,5,3.193028685774389,2.80569 ,,,,2.8056861578995864
3.25,3.75,2.7039027201961168,2.7804473381292194,1.11277 ,,,,1.1127688902687374
3.75,0.25,2.89887122052214,0.053558428824039384,0.87350 ,,,,0.8735041443184753
4.25,1.25,5,1.5237287880936727,0.79839 ,,,,0.7983905369123752
4.75,2.25,5,2.3350451138208044,0.26407 ,,,,0.26406944424676165
