x_true,y_true,x_est,y_est,Error_m,,,,
0,1,0,3.5252482164044014,2.52525 ,,,,2.5252482164044014
0.75,2.25,0.9778388048379605,1.5095437350320715,0.77472 ,,,,0.774716723273898
1,1.75,0,0.373417692025655,1.70146 ,,,,1.7014637376764674
1.25,0.75,1.4786646603357274,0.9013352524799383,0.27421 ,,,,0.27420774155668953
1.25,4,2.6937116699011265,3.988340460765447,1.44376 ,,,,1.443758750852739
1.75,2.5,1.8990047031884618,2.782861052475228,0.31971 ,,,,0.3197073295682716
2,0,1.5559200943770055,1.6341911751985085,1.69345 ,,,,1.6934543866531542
2.25,1.25,5,2.93813136903253,3.22681 ,,,,3.2268076359014097
2.5,2,2.134761952715438,3.0303994470557467,1.09322 ,,,,1.0932162876928924
2.75,0.5,2.254131516090065,1.3008843042881324,0.94197 ,,,,0.9419666778555509
3,2.75,2.135947709984793,3.948761493821113,1.47771 ,,,,1.4777061544666956
3.25,1,3.9027011419872975,1.7707068753669781,1.00995 ,,,,1.0099543893114447
3.25,3.75,3.068076489451526,3.034053483317703,0.73870 ,,,,0.7386985707579212
3.75,0.25,4.306509623143602,1.5132358923656561,1.38039 ,,,,1.380386858968271
4.25,1.25,3.185968442578111,0.5954129708035474,1.24926 ,,,,1.2492587137906577
4.75,2.25,4.0552819711253845,1.8726252877518126,0.79060 ,,,,0.7905977568193787
