x_true,y_true,x_est,y_est,Error_m,
0,1,0.34425020298334513,3.64900061751667,2.67128 ,2.671275439534039
0.75,2.25,2.1953088411232873,1.2059116900675908,1.78299 ,1.7829857108700156
1,1.75,0.4005504409000686,1.3758302482805065,0.70664 ,0.7066419015363649
1.25,0.75,1.4075726123177572,3.0986080609733153,2.35389 ,2.3538880500613186
1.25,4,1.4397701061550998,2.712571791271188,1.30134 ,1.3013393430695912
1.75,2.5,2.441807164756224,2.3697621561249513,0.70396 ,0.7039595508161438
2,0,1.6573884981555784,0.05251728235924402,0.34661 ,0.3466131938378726
2.25,1.25,5,0,3.02076 ,3.020761493398643
2.5,2,3.8917250579508864,4.260435371936228,2.65452 ,2.65451816863793
2.75,0.5,1.562866096718548,2.2914235866478596,2.14907 ,2.1490661625735346
3,2.75,4.565275335893117,5,2.74091 ,2.74090986301179
3.25,1,5,0.7310802014699765,1.77054 ,1.7705416849205862
3.25,3.75,3.0213988475763838,2.3321512858841187,1.43616 ,1.4361592749446224
3.75,0.25,3.3939451135783396,2.5550436851919036,2.33238 ,2.3323810736643815
4.25,1.25,3.875708670960301,2.038113630212431,0.87248 ,0.8724775602391851
4.75,2.25,2.643679331079449,2.558746852115369,2.12883 ,2.1288286401242043
