x_true,y_true,x_est,y_est,error_m,,,,
0,1,0,2.4224116915355856,1.42241 ,,,,1.4224116915355856
0.75,2.25,0.3922353902061795,2.129149441921769,0.37762 ,,,,0.37762464618817526
1,1.75,0,0,2.01556 ,,,,2.0155644370746373
1.25,0.75,1.8534943424105879,0.9091690428870912,0.62413 ,,,,0.6241315610792171
1.25,4,1.434718898824653,3.3231838530743443,0.70157 ,,,,0.7015705013199195
1.75,2.5,1.321493089077877,3.1375473154607048,0.76817 ,,,,0.7681697417623083
2,0,2.5648654151013184,1.998178744460086,2.07649 ,,,,2.0764853074340954
2.25,1.25,4.6779167939245,2.1160915633648614,2.57777 ,,,,2.5777692981243323
2.5,2,1.6159317562425024,2.947247746437626,1.29571 ,,,,1.2957063528252175
2.75,0.5,2.1804347527100134,0,0.75789 ,,,,0.7578948284033238
3,2.75,3.1318120046078977,4.022453893348678,1.27926 ,,,,1.279262801482542
3.25,1,4.792032870672565,2.555391359755188,2.19023 ,,,,2.190230046418815
3.25,3.75,2.880328192348477,2.910002662732363,0.91774 ,,,,0.9177433039739731
3.75,0.25,3.4996805656711847,0.7244513596652712,0.53644 ,,,,0.5364363073943845
4.25,1.25,4.130858127927521,1.1859245436047259,0.13528 ,,,,0.13527915505796761
4.75,2.25,4.8836905454499,2.168896901112846,0.15637 ,,,,0.1563677543222748
