x_true,y_true,x_est,y_est,error_m,,,,
0,1,0.9232472555443317,2.8847833859022383,2.09876 ,,,,2.098760087919352
0.75,2.25,1.043644031243512,1.8881056424539173,0.46604 ,,,,0.4660411388586126
1,1.75,0,0.7717822449983788,1.39890 ,,,,1.3988959847681357
1.25,0.75,1.73456033987012,2.0998578515111705,1.43419 ,,,,1.4341948759709746
1.25,4,0.32020732714725475,2.4220977847183693,1.83147 ,,,,1.831472035134943
1.75,2.5,1.7020865076743104,2.9013920504322424,0.40424 ,,,,0.40424161203053266
2,0,2.486348033108082,1.21313220368635,1.30699 ,,,,1.306990494582497
2.25,1.25,5,0,3.02076 ,,,,3.020761493398643
2.5,2,2.8108005826040934,4.099773288901212,2.12265 ,,,,2.1226504344639645
2.75,0.5,1.6167888125997043,0.37133322173592054,1.14049 ,,,,1.1404923213586515
3,2.75,4.168932108640305,4.612353499704522,2.19881 ,,,,2.198809412493941
3.25,1,5,2.2864620209237096,2.17198 ,,,,2.171977101923295
3.25,3.75,2.8787404005930655,2.5396261248676626,1.26603 ,,,,1.2660326250751475
3.75,0.25,3.1093164506297315,1.5271433684841689,1.42884 ,,,,1.428835397831666
4.25,1.25,4.356847193897372,1.8039265475114823,0.56414 ,,,,0.5641373439879096
4.75,2.25,3.85418526253667,2.5587962623786766,0.94754 ,,,,0.9475437591560273
