x_true,y_true,x_est,y_est,error_m,,,,
0,1,0,3.4440000000343303,2.44400 ,,,,2.4440000000343303
0.75,2.25,1.6027529718744231,1.2795279148346246,1.29190 ,,,,1.291899260440183
1,1.75,0,0.9332211388646843,1.29117 ,,,,1.2911729969285692
1.25,0.75,1.3239051473812522,2.0443299161012867,1.29644 ,,,,1.2964381599305879
1.25,4,2.1401845667649195,3.380906545075999,1.08430 ,,,,1.0842994368882535
1.75,2.5,2.1947440886566776,2.5633872561284625,0.44924 ,,,,0.4492385208712116
2,0,1.5553624306373086,1.0373222730624585,1.12860 ,,,,1.1286009331381168
2.25,1.25,5,0,3.02076 ,,,,3.020761493398643
2.5,2,3.18817894080475,3.9438440419883194,2.06207 ,,,,2.062066903410419
2.75,0.5,1.816101532135173,1.8832414972124583,1.66899 ,,,,1.6689887321042147
3,2.75,3.2990218931729234,5,2.26978 ,,,,2.269782829390671
3.25,1,5,1.334928685265432,1.78176 ,,,,1.7817623927487163
3.25,3.75,3.0734885534178025,2.6387165445078518,1.12521 ,,,,1.1252142948012656
3.75,0.25,3.751366817181351,2.0912509597607394,1.84125 ,,,,1.8412514670758722
4.25,1.25,3.662789818273007,1.4923841487442728,0.63527 ,,,,0.6352683473039827
4.75,2.25,3.2828916697671513,2.1924824296670486,1.46824 ,,,,1.4682353774295263
