x_true,y_true,x_est,y_est,error_m,,,
0,1,0,2.8198212202452995,1.81982 ,,,1.8198212202452995
0.75,2.25,1.0091432128502487,1.7589124868770398,0.55527 ,,,0.5552676384516235
1,1.75,0,0.5527285439599389,1.55995 ,,,1.5599547876295288
1.25,0.75,1.6041154840710845,1.695129132996503,1.00929 ,,,1.0092902724675494
1.25,4,1.3924609285806986,3.050181810647543,0.96044 ,,,0.960442454807603
1.75,2.5,1.7667188815999473,2.8608404879787384,0.36123 ,,,0.36122759967461937
2,0,2.1784531670606517,1.4179100251287997,1.42910 ,,,1.4290956483716304
2.25,1.25,5,0,3.02076 ,,,3.020761493398643
2.5,2,2.6571672029142,3.8150822517084664,1.82187 ,,,1.8218740653895236
2.75,0.5,1.8249610350306555,0.7262865750361341,0.95231 ,,,0.9523143917599587
3,2.75,3.5047820826803124,4.558839586240243,1.87795 ,,,1.8779525019938195
3.25,1,5,2.0922697401380117,2.06290 ,,,2.06289921838687
3.25,3.75,2.9493255916423156,2.6883778885029965,1.10338 ,,,1.103379629801366
3.75,0.25,3.458101991242589,1.4983678841213068,1.28204 ,,,1.282040101409488
4.25,1.25,4.056235586450372,1.5176492061102056,0.33043 ,,,0.3304250981533555
4.75,2.25,3.959736018715362,2.324480626763951,0.79377 ,,,0.7937660385018985
