x_true,y_true,x_est,y_est,Error_m,,,,
0,1,1.32061022027139,2.1353153113071053,1.74154 ,,,,1.7415373122542046
0.75,2.25,1.4019147758530233,2.4950293636650627,0.69644 ,,,,0.6964425777001311
1,1.75,1.19545130700663,2.2951978387692327,0.57917 ,,,,0.5791734600352835
1.25,0.75,2.053501608353483,1.7326408725586622,1.26933 ,,,,1.269329712505574
1.25,4,1.6306448013486974,3.0686045943750866,1.00617 ,,,,1.0061748687047327
1.75,2.5,2.5161102683616963,2.94039397243747,0.88367 ,,,,0.8836695051027196
2,0,2.1915076955031254,2.2610248123105494,2.26912 ,,,,2.269120622470492
2.25,1.25,1.9998939255745467,1.8392115233984452,0.64010 ,,,,0.6400962957009101
2.5,2,2.510418471486474,2.9907182921485145,0.99077 ,,,,0.9907730713668916
2.75,0.5,2.247779777560018,2.618405648096223,2.17712 ,,,,2.177123708408331
3,2.75,2.4288511160558617,3.4155710802318784,0.87704 ,,,,0.8770381465316457
3.25,1,2.513039623415339,2.0577023337992975,1.28913 ,,,,1.2891256042683683
3.25,3.75,3.3339158146306938,2.2144162273825594,1.53787 ,,,,1.537874958074012
3.75,0.25,3.347825183634906,2.3528785168023063,2.14099 ,,,,2.1409910413981104
4.25,1.25,3.3859361517332993,2.573026025270548,1.58019 ,,,,1.5801911901490415
4.75,2.25,2.816832399399263,2.618444736030427,1.96797 ,,,,1.9679655727478926
