x_true,y_true,x_est,y_est,Error_m,,,,
0,1,1.6257992718422485,2.1660879816111014,2.00075 ,,,,2.000745974175792
0.75,2.25,1.7346160176260073,2.1485011622397048,0.98983 ,,,,0.9898336810961671
1,1.75,1.9628584927381945,2.042509367554754,1.00631 ,,,,1.006309200566779
1.25,0.75,2.403986716262896,1.8217025893031629,1.57488 ,,,,1.5748751636972136
1.25,4,1.4737667247974946,3.3389051771220775,0.69794 ,,,,0.6979383296270448
1.75,2.5,2.016999813419213,3.2837342357856585,0.82797 ,,,,0.8279663354922256
2,0,1.8594896860826131,0.5848701799617058,0.60151 ,,,,0.6015116588442827
2.25,1.25,2.1084361591842544,1.939866686977331,0.70424 ,,,,0.7042416963142586
2.5,2,2.7834573524453172,2.1603275165018316,0.32566 ,,,,0.3256577700638415
2.75,0.5,2.206778430684011,2.7518759437924065,2.31647 ,,,,2.3164703623403144
3,2.75,2.884456579072021,3.119205876394237,0.38686 ,,,,0.3868633625503672
3.25,1,2.2514452481544875,1.4980710034769387,1.11588 ,,,,1.1158791677138604
3.25,3.75,2.2795756743645783,3.881591483542707,0.97931 ,,,,0.9793057185199795
3.75,0.25,2.4529029034560437,2.1991759915260367,2.34131 ,,,,2.341313290400127
4.25,1.25,3.347553041347089,2.0303359547191215,1.19304 ,,,,1.1930359237714898
4.75,2.25,2.473138134242775,2.4834324060381125,2.28880 ,,,,2.288796767720588
