x_true,y_true,x_est,y_est,Error_m,,,
0,1,2.3147139530073892,0,2.52149 ,,,2.5214877918100447
0.75,2.25,3.492275633441749,0.33051806727175076,3.34731 ,,,3.3473103441178744
1,1.75,5,2.6936043819124844,4.10979 ,,,4.109791871806216
1.25,0.75,3.2109187793807847,2.23732073,2.46116 ,,,2.461163426937848
1.25,4,2.9601069341261583,3.5277360218689973,1.77412 ,,,1.7741192156071386
1.75,2.5,4.062757966091711,1.8005399221247296,2.41621 ,,,2.416214769067921
2,0,2.2642714517382023,0.5618949029872335,0.62094 ,,,0.6209390326005039
2.25,1.25,3.087652264683609,2.268326800095304,1.31858 ,,,1.3185790792826648
2.5,2,0,0.8932633025829232,2.73402 ,,,2.7340201384425935
2.75,0.5,5,2.4645122116768947,2.98694 ,,,2.98693960933723
3,2.75,2.991688199172943,4.21698764851881,1.46701 ,,,1.467011195233266
3.25,1,2.6998016982875703,1.3742312836650747,0.66541 ,,,0.6654075629874157
3.25,3.75,3.5527580689079326,2.5779370268130015,1.21053 ,,,1.210534618011731
3.75,0.25,3.0671412860281944,1.9780198376414466,1.85805 ,,,1.8580496717067603
4.25,1.25,0,1.386906327742718,4.25220 ,,,4.252204527368832
4.75,2.25,2.836318601136259,1.3196338473426854,2.12785 ,,,2.12785283193351
