x,y,ble_rssi1,ble_rssi2,ble_rssi3,ble_rssi4,sle_rssi1,sle_rssi2,sle_rssi3,sle_rssi4
0.0,1.0,-49.57156743,-52.16375346,-37.08290403,-53.79903481,-50.19606902,-51.70675467,-37.96118525,-53.37406155
0.75,2.25,-48.29805026,-52.88949186,-47.05583937,-53.63537604,-53.15714822,-52.96487749,-48.14947503,-54.61155451
1.0,1.75,-49.9756642,-52.69756127,-43.77009126,-54.67196271,-52.47099763,-51.1184137,-42.67068189,-52.8719499
1.25,0.75,-53.85013345,-50.43747645,-40.74777863,-52.50266438,-53.0451514,-51.12939907,-44.62720699,-49.53484538
1.25,4.0,-49.43351676,-49.66884696,-48.04295576,-55.46580305,-41.06999054,-51.35590956,-50.20146952,-55.05412173
1.75,2.5,-49.49929382,-50.56491607,-52.58526849,-51.52387723,-49.56032233,-47.07063635,-49.23228577,-55.67026674
2.0,0.0,-54.93409374,-48.25844677,-45.75243986,-55.14849751,-55.47209802,-56.16936365,-43.8953265,-50.6814749
2.25,1.25,-51.75641242,-52.34096458,-45.05554718,-50.95010973,-50.49720494,-52.35372542,-44.29548851,-49.25027693
2.5,2.0,-48.77479386,-45.68373598,-49.76618038,-51.79775462,-52.41710586,-49.42100343,-48.99431838,-48.24521491
2.75,0.5,-49.16155544,-48.4907093,-47.42583183,-51.48109911,-51.68288426,-50.83197215,-50.63270206,-53.97006591
3.0,2.75,-51.47303873,-47.51636536,-51.32602825,-55.02974334,-53.35624961,-45.96843968,-51.65363548,-54.27884881
3.25,1.0,-49.49372055,-49.81510938,-45.75848374,-44.89252041,-52.64291896,-53.98898693,-46.15753078,-47.9745219
3.25,3.75,-54.91556702,-47.38971662,-50.3338566,-50.30940376,-50.40083868,-42.10847823,-50.90213713,-57.0425953
3.75,0.25,-52.02948456,-50.75205562,-53.70117012,-46.88793822,-48.1263615,-51.48265594,-48.82669417,-45.26130734
4.25,1.25,-53.03440496,-47.83182505,-52.70045821,-49.16966522,-54.42659855,-50.75786717,-52.54580688,-47.91118589
4.75,2.25,-48.33488068,-50.57067711,-52.80150396,-46.84968554,-50.01299208,-51.41025904,-51.16742544,-50.07767798
