x_true,y_true,x_est,y_est,error_m,,,
0,1,1.4751810902806797,2.151191999929923,1.87120 ,,,1.8712034282312415
0.75,2.25,1.5645877460797826,2.320198445814945,0.81761 ,,,0.8176068846690162
1,1.75,1.5878871407613633,2.1567880487226048,0.71490 ,,,0.7149040543010756
1.25,0.75,2.2395770920623534,1.7904185230898881,1.43587 ,,,1.4358737842593017
1.25,4,1.5587059108637262,3.2047326139876486,0.85308 ,,,0.8530823844489588
1.75,2.5,2.2436745135692138,3.1437184690699826,0.81123 ,,,0.8112262278610092
2,0,1.8671991883333587,1.3119031965491323,1.31861 ,,,1.3186076189280684
2.25,1.25,2.057665418473552,1.8930962643472853,0.67124 ,,,0.6712416826064866
2.5,2,2.6413892284379954,2.5788314422840686,0.59585 ,,,0.5958496056010666
2.75,0.5,2.227754600208648,2.6807194229581692,2.24238 ,,,2.2423820948425
3,2.75,2.6623711298045265,3.26444100827251,0.61534 ,,,0.61533958509258
3.25,1,2.389957585512512,1.792040160616452,1.16919 ,,,1.1691879963234326
3.25,3.75,2.792187409529385,3.1008387693556063,0.79436 ,,,0.7943567657955454
3.75,0.25,2.8619660500715254,2.2729920924128764,2.20932 ,,,2.209321457414153
4.25,1.25,3.365632485939581,2.3017960403277,1.37418 ,,,1.3741836887310348
4.75,2.25,2.647939547886644,2.5587800002353,2.12462 ,,,2.1246183734695316
