x_true,y_true,x_est,y_est,error_m,,,,
0,1,1.535805025744348,0.9882660890045425,1.53585 ,,,,1.5358498500077562
0.75,2.25,2.4434489938180417,1.2526757827740744,1.96531 ,,,,1.9653053424159421
1,1.75,3.8741741865594985,2.7748573967969463,3.05143 ,,,,3.0514275246930525
1.25,0.75,2.7261357883459536,2.0924086576081606,1.99525 ,,,,1.9952538358958425
1.25,4,2.3662093042548658,3.437952365892041,1.24973 ,,,,1.2497282720301586
1.75,2.5,3.3507153387696285,2.3439498200271647,1.60830 ,,,,1.6083038439430282
2,0,1.9784951178019243,1.4104741771843885,1.41064 ,,,,1.4106381054197887
2.25,1.25,2.5587759190227475,2.0471186737960307,0.85483 ,,,,0.8548337547632786
2.5,2,1.0362139637919587,1.840963804849965,1.47240 ,,,,1.4724001056660683
2.75,0.5,4.229893628857863,2.733909237491248,2.67963 ,,,,2.679633488759764
3,2.75,2.756865571382675,3.8819619433318096,1.15778 ,,,,1.1577789907968619
3.25,1,2.6017205484674353,1.7325194704474094,0.97819 ,,,,0.9781876209929853
3.25,3.75,3.4682437585828705,2.4158098062212003,1.35192 ,,,,1.3519222652711542
3.75,0.25,3.2348734790729403,2.185343337663759,2.00273 ,,,,2.0027254348017642
4.25,1.25,2.404731825529301,2.9161956772350943,2.48621 ,,,,2.4862064818818532
4.75,2.25,2.9338856653988525,1.9681762018011033,1.83785 ,,,,1.8378508997127654
