x_true,y_true,x_est,y_est,error_m,,,
0,1,1.7092765956509584,1.0002041635181949,1.70928 ,,,1.7092766078440529
0.75,2.25,2.6033005862385634,1.0921520079400744,2.18525 ,,,2.1852539979758427
1,1.75,4.214522899761951,2.5641463177535666,3.31602 ,,,3.316020461306847
1.25,0.75,2.844720766534315,2.067614795369769,2.06863 ,,,2.068633141036156
1.25,4,2.216511555663893,3.5084811771910256,1.08431 ,,,1.0843133036200183
1.75,2.5,3.0154947156540395,2.649090635500295,1.27425 ,,,1.274246794362136
2,0,2.0571315197761963,0.593604339868555,0.59635 ,,,0.5963473173099053
2.25,1.25,2.585858223450424,2.077622075039597,0.89317 ,,,0.8931735807513136
2.5,2,1.3227969938699682,1.327005482666286,1.35600 ,,,1.355997248523323
2.75,0.5,4.453876839528977,2.798894587952507,2.86149 ,,,2.861487831670892
3,2.75,2.996196334391161,3.706880703445851,0.95689 ,,,0.9568882633302022
3.25,1,2.474963061128336,1.4343366978885623,0.88844 ,,,0.8884428083722101
3.25,3.75,2.9133708057929426,3.284926293305528,0.57412 ,,,0.5741191227010547
3.75,0.25,2.7434226374290187,2.062997232132537,2.07368 ,,,2.07368197912809
4.25,1.25,2.0987309707142487,2.3966711919180046,2.43779 ,,,2.4377886000920412
4.75,2.25,2.7182654673092568,1.8809278227065287,2.06498 ,,,2.0649841363507413
