x_true,y_true,x_est,y_est,error_m,,,,
0,1,1.5044878097050212,1.4145576787234666,1.56056 ,,,,1.5605581176424033
0.75,2.25,2.2071199131250046,1.5327332310049098,1.62409 ,,,,1.6240905329229887
1,1.75,3.137020102545037,2.584538889530634,2.29419 ,,,,2.294190505782077
1.25,0.75,2.6197074853897933,2.0022847482120167,1.85589 ,,,,1.8558867654405171
1.25,4,2.056917255087535,3.4102579978656955,0.99946 ,,,,0.9994553945221267
1.75,2.5,2.860260998443659,2.7295309831734094,1.13374 ,,,,1.1337389280172323
2,0,1.9386499193109326,1.1037719921235327,1.10548 ,,,,1.1054756636836955
2.25,1.25,2.3998209932508527,2.0020863089748238,0.76686 ,,,,0.76686383808734
2.5,2,1.6638402858724957,1.875015434614063,0.84545 ,,,,0.8454491168098179
2.75,0.5,3.448670903088771,2.863885534006423,2.46497 ,,,,2.464973802844101
3,2.75,2.8214405759615184,3.6310563898613126,0.89897 ,,,,0.8989682030129895
3.25,1,2.4891578185417136,1.6564744480507287,1.00491 ,,,,1.0049077201562904
3.25,3.75,3.0598306992019024,2.948205481549782,0.82404 ,,,,0.8240381136712392
3.75,0.25,2.942302731879796,2.1697366463567795,2.08273 ,,,,2.0827298596539148
4.25,1.25,2.711566371025155,2.6485949490533502,2.07915 ,,,,2.0791454644344283
4.75,2.25,2.7878713835074973,2.1330812500096505,1.96561 ,,,,1.9656089900481448
