Error_m,ECDF
0.2723465231580082,0.02
0.38220636356365034,0.04
0.7862900032492208,0.06
0.8071701301075475,0.08
1.1625269219891246,0.1
1.5107662120469165,0.12
1.9534278134523022,0.14
2.1372576574637705,0.16
2.4396840757326426,0.18
2.6607048310591717,0.2
2.7211408357745226,0.22
2.7899714455287814,0.24
2.8234060485550807,0.26
2.878312194573105,0.28
3.5431156906072525,0.3
3.8484045075269577,0.32
3.9725435023446014,0.34
3.9946107089223637,0.36
4.031525609949576,0.38
4.3250991350652,0.4
4.349869766812865,0.42
4.4445717313048085,0.44
4.445961731068929,0.46
4.897979366923128,0.48
4.933799419802943,0.5
4.99813025623624,0.52
5.075627142858943,0.54
5.219762860777054,0.56
5.303300858899107,0.58
5.420333294145823,0.6
5.468044004023271,0.62
5.7118298293979315,0.64
5.8167602532208615,0.66
6.002900131538078,0.68
6.243111045721659,0.7
6.3909328858758245,0.72
6.550398917536949,0.74
7.063201740682731,0.76
7.470505215358542,0.78
7.654221223379729,0.8
7.952105787567908,0.82
8.13343420636033,0.84
8.789565400261532,0.86
9.283839577044263,0.88
9.626413968132304,0.9
10.05572010969156,0.92
10.175227360009776,0.94
11.203536219630092,0.96
13.008858611559335,0.98
15.996379588954825,1.0
