Error_m,ECDF
0.35298128916037896,0.02
0.4256845307680832,0.04
0.7653102483849806,0.06
1.5011008065068083,0.08
1.6704415213913442,0.1
2.2732502082829535,0.12
2.3580647925988614,0.14
2.3743711175080695,0.16
2.456730225360151,0.18
2.664192779168269,0.2
3.0908023366178607,0.22
3.181980515339464,0.24
4.099003104934801,0.26
4.318255497378111,0.28
4.48894015087048,0.3
4.535617239925798,0.32
5.015562020410313,0.34
5.2804813089792555,0.36
5.303300858899107,0.38
5.3699007712261295,0.4
5.627465791847256,0.42
5.820196458712955,0.44
5.900373579860764,0.46
6.116701464683981,0.48
6.245235743501392,0.5
6.45174395028197,0.52
6.46234873141473,0.54
6.755415793735622,0.56
6.806621283896139,0.58
6.846925767841151,0.6
7.141060590061314,0.62
7.660390414805929,0.64
9.030557775634229,0.66
9.346167828400736,0.68
9.366124493077072,0.7
9.545941546018392,0.72
10.29107349226788,0.74
10.485945312369077,0.76
10.67571078921289,0.78
11.781441260574688,0.8
12.090834806489369,0.82
12.626549855692824,0.84
15.683839001129634,0.86
15.90335496604054,0.88
17.722123819303317,0.9
18.629613522561332,0.92
19.91040351864671,0.94
22.95784179752095,0.96
24.042436756767568,0.98
26.335574799119158,1.0
