Error_m,ECDF
0.5635988318303227,0.02
0.7771740479649832,0.04
1.5,0.06
1.5184650614099453,0.08
1.615773080128161,0.1
1.8502562817569537,0.12
2.3108366661288575,0.14
2.3717082451262845,0.16
2.5745534164208386,0.18
2.606590549793162,0.2
2.7055840458534184,0.22
2.819215655755285,0.24
2.850173048869171,0.26
3.3315090812700876,0.28
3.4649270045567313,0.3
3.8029446501370816,0.32
3.8707331489958947,0.34
3.953471709875408,0.36
4.212904788253627,0.38
4.288706789809635,0.4
4.37195347246147,0.42
4.442446583558112,0.44
5.253545628965776,0.46
5.303300858899107,0.48
5.56909079874214,0.5
5.636494912150556,0.52
5.666462915560216,0.54
5.963479324466482,0.56
6.125807426591716,0.58
6.766441547748889,0.6
7.424621202458749,0.62
7.443025484229086,0.64
7.445380916790469,0.66
7.472192754159519,0.68
8.262510978899726,0.7
8.85198496274945,0.72
8.954970323286162,0.74
8.975974164150141,0.76
9.604031853746346,0.78
10.29178212810187,0.8
10.353088322125853,0.82
10.44629120788809,0.84
10.770210285386955,0.86
11.45360863663784,0.88
11.622257750567465,0.9
11.986069821907405,0.92
12.988525595698624,0.94
14.887074930959406,0.96
15.685599876971736,0.98
17.126639570229564,1.0
