Error_m,ECDF
1.4765469403358722,0.02
1.5,0.04
2.0873507073180924,0.06
2.0999071496137187,0.08
2.181351561385203,0.1
2.3087466943535735,0.12
2.364703213596868,0.14
2.3717082451262845,0.16
2.5446710740983067,0.18
2.658042872365901,0.2
3.181980515339464,0.22
3.5689189494706928,0.24
3.8818822967910167,0.26
4.059083654890944,0.28
4.708765712088642,0.3
4.790145287962056,0.32
4.971869604288309,0.34
5.303300858899107,0.36
5.39855073462571,0.38
5.440959485940667,0.4
5.772114693947336,0.42
5.779266166312748,0.44
5.804639979408477,0.46
5.9084146608042465,0.48
6.0571203862233896,0.5
6.448356194278129,0.52
6.45174395028197,0.54
6.9048638012871315,0.56
7.040323390612042,0.58
7.1899882355669265,0.6
7.343801868705536,0.62
7.424621202458749,0.64
8.036873391689378,0.66
8.674446747402895,0.68
9.025260518415799,0.7
9.287762724080393,0.72
9.545941546018392,0.74
10.28397718983187,0.76
10.44629120788809,0.78
11.303850796936507,0.8
12.279913862364955,0.82
13.639979689431758,0.84
14.37773634512939,0.86
14.776952452076957,0.88
15.085333431508282,0.9
16.152271614434255,0.92
17.003676073131953,0.94
18.629613522561332,0.96
22.65589738977443,0.98
26.335574799119158,1.0
