Error_m,ECDF
0.44160579572430336,0.02
0.7757073983149196,0.04
1.142605138958526,0.06
1.2925517688340349,0.08
1.4031461857312415,0.1
1.5,0.12
1.6033450527046231,0.14
1.6373185753259971,0.16
2.2616435821168266,0.18
2.462515997174476,0.2
2.788684315612236,0.22
2.909675225449573,0.24
3.181980515339464,0.26
3.567265299402536,0.28
3.7227009002131366,0.3
4.101746706919756,0.32
4.215263006173415,0.34
4.330947370788264,0.36
4.373742618769175,0.38
4.4336120378714705,0.4
4.756579118861443,0.42
5.087109637272787,0.44
5.269709283664564,0.46
5.303300858899107,0.48
5.315060168658373,0.5
5.410767465921681,0.52
5.515533543786231,0.54
5.660823855750811,0.56
6.45174395028197,0.58
6.532096538797474,0.6
6.59178019732644,0.62
6.8581994161199376,0.64
7.350600611109222,0.66
7.526915504429219,0.68
7.724968565273326,0.7
7.957789885658274,0.72
8.318508519146368,0.74
8.446616519486705,0.76
8.52720954363749,0.78
8.701807163709077,0.8
8.887245512393283,0.82
9.075422896870561,0.84
9.545941546018392,0.86
11.966238087709991,0.88
13.263228670638654,0.9
16.657288398576327,0.92
18.151711371025232,0.94
18.290261623552112,0.96
18.629613522561332,0.98
25.908091705458133,1.0
