Error_m,ECDF
0.990953888339653,0.02
1.1132673467113658,0.04
1.2614617494289806,0.06
1.5,0.08
1.6330775123873917,0.1
2.007175881929431,0.12
2.112142132583706,0.14
2.3717082451262845,0.16
2.3797244879981,0.18
2.7649537063120877,0.2
2.8430687057505155,0.22
2.9868714653134596,0.24
3.273084019952122,0.26
3.2783959296984104,0.28
3.3581341201624677,0.3
3.9084069077949706,0.32
4.151942358299426,0.34
4.811378064259924,0.36
4.9177015858099615,0.38
5.262734385254631,0.4
5.2662914658114435,0.42
5.303300858899107,0.44
5.398614890598524,0.46
5.44496664296942,0.48
5.6985161591968705,0.5
5.839263443096494,0.52
6.13455906964286,0.54
6.45174395028197,0.56
6.687537983539895,0.58
6.842836724996353,0.6
6.84786781127218,0.62
7.424621202458749,0.64
7.742043834991324,0.66
7.789915873170552,0.68
7.986485634530011,0.7
8.382076248736375,0.72
8.538842633089684,0.74
8.619923568272187,0.76
9.461985002290133,0.78
9.545941546018392,0.8
10.471643264803323,0.82
11.140167778317252,0.84
11.713390765923771,0.86
12.020400488122094,0.88
13.604061777072014,0.9
14.565701074710278,0.92
17.003676073131953,0.94
18.629613522561332,0.96
21.18757308382757,0.98
23.122866206572084,1.0
