x_true,y_true,x_est,y_est
0.0,1.0,0.0,2.8198212202452995
0.75,2.25,1.0091432128502487,1.7589124868770398
1.0,1.75,0.0,0.5527285439599389
1.25,0.75,1.6041154840710845,1.695129132996503
1.25,4.0,1.3924609285806986,3.050181810647543
1.75,2.5,1.7667188815999473,2.8608404879787384
2.0,0.0,2.1784531670606517,1.4179100251287997
2.25,1.25,5.1,0.0
2.5,2.0,2.6571672029142,3.8150822517084664
2.75,0.5,1.8249610350306555,0.7262865750361341
3.0,2.75,3.5047820826803124,4.558839586240243
3.25,1.0,5.1,2.0922697401380117
3.25,3.75,2.9493255916423156,2.6883778885029965
3.75,0.25,3.458101991242589,1.4983678841213068
4.25,1.25,4.056235586450372,1.5176492061102056
4.75,2.25,3.959736018715362,2.324480626763951
