ID,x,y,RSSI1,RSSI2,RSSI3,RSSI4,RSSI5
1,0.98,7.9,-74.811,-74.144,-92.775,-85.42,-89.4117032392895
2,1.98,7.9,-74.435,-75.578,-77.848,-84.391,-81.792
3,2.98,7.9,-79.925,-80.2854209445585,-85.058,-78.185,-80.019
4,3.98,7.9,-77.553,-85.673,-78.279,-93.231,-87.592
5,4.98,7.9,-81.138,-82.176,-90.441,-81.947,-81.621
6,5.98,7.9,-86.972,-76.2115384615385,-88.763,-73.9839518555667,-70.727
7,0.98,11.18,-92.9837232960326,-80.382,-83.235,-66.605,-76.785
8,1.98,11.18,-90.62,-86.64,-80.2832661290323,-64.0421263791374,-72.0511022044088
9,2.98,11.18,-80.055,-93.814358974359,-85.7011494252874,-65.166,-70.035
10,3.98,11.18,-80.2924335378323,-79.912512716175,-87.2152420185376,-69.7170191339376,-75.6071428571429
11,4.98,11.18,-87.6645833333333,-88.6327800829876,-89.3642105263158,-81.5758196721311,-72.2343909928352
12,5.98,11.18,-82.258,-88.825,-89.775,-74.6786786786787,-70.0591775325978
13,6.98,11.18,-76.0829068577277,-88.107,-92.136,-72.472,-70.352
14,7.98,11.18,-84.185,-84.0862944162437,-82.499,-75.479,-66.226
15,8.98,11.18,-86.049,-91.215,-84.083,-77.064,-66.106
16,0.98,12.18,-81.593,-89.1740442655936,-91.008,-59.099,-84.061
17,1.98,12.18,-86.128,-93.1658189216684,-93.9213250517598,-62.518,-84.2955911823647
18,2.98,12.18,-76.702,-87.31,-89.281,-68,-87.0300902708124
19,3.98,12.18,-86.1845991561181,-86.8790746582545,-87.1678986272439,-68.0331606217617,-81.5811789038263
20,6.18,10.18,-78.937,-83.048,-84.238,-78.261,-90.403
21,6.98,10.18,-75.529,-84.2949260042283,-79.201,-79.05,-71.528
22,7.98,10.18,-88.3642857142857,-82.438,-94.3367139959432,-75.936,-70.692
23,8.98,10.18,-85.0242669362993,-86.5115766262404,-83.3145728643216,-80.947,-71.215
24,7.98,9.38,-80.6802860061287,-77.0112589559877,-94.5773745997866,-76.2282497441146,-95.9904534606205
25,8.98,9.38,-92.079347826087,-94.0744444444444,-92.4747899159664,-72.0319587628866,-70.1262833675565
26,6.98,9.18,-78.163,-84.562,-77.133,-73.745,-77.775
27,6.98,8.18,-84.0489583333333,-82.8078920041537,-78.2944785276074,-82.0134158926729,-86.9253112033195
28,6.18,7.18,-77.1029106029106,-86.1375,-87.5571878279119,-82.370867768595,-81.4819027921406
29,6.98,7.18,-80.1338100102145,-78.9867617107943,-84.1441717791411,-87.4855967078189,-82.1603288797533
30,6.98,6.18,-77.1695607763023,-75.5971515768057,-91.1394628099174,-87.1796165489405,-89.7854954034729
31,6.98,5.18,-73.0305810397553,-89.3846949327818,-75.8158697863683,-95.2604395604396,-80.0450819672131
32,6.98,4.18,-78.0277492291881,-75.1910569105691,-66.0393541876892,-86.1812627291242,-75.7939086294416
33,6.98,3.18,-71.9631901840491,-75.1532091097309,-70.417773237998,-80.9037656903766,-80.1371727748691
34,6.98,2.18,-70.3258655804481,-68.1559633027523,-67.6462793068298,-88.8835051546392,-79.8896907216495
35,7.78,6.18,-82.896335078534,-80.0294736842105,-90,-81.38125,-85.5146443514644
36,7.78,5.18,-75.064681724846,-70.4690355329949,-70.0408163265306,-86.465306122449,-86.3669064748201
37,7.78,4.18,-77.409,-80.603,-73.171,-88.577,-87.175
38,7.78,3.18,-78.1851851851852,-73.802,-75.122,-88.951269035533,-80.084
39,7.78,2.18,-71.267,-75.9352881698686,-73.416,-94.7178947368421,-82.0020325203252
40,6.98,1.6,-79.8066875653083,-82.1870428422153,-73.0224719101124,-91.601677148847,-83.8112617309698
41,0.98,4.46,-78.008,-81.0899898887765,-81.3589484327604,-80.465,-82.758
42,1.98,4.46,-70.1606591143151,-92.2826321467098,-66.9907975460123,-86.8607329842932,-89.5443169968717
43,2.98,4.46,-90.7025641025641,-73.6676923076923,-66.2133333333333,-89.2553846153846,-95.8550057537399
44,3.98,4.46,-70.1443193449335,-73.0605749486653,-77.103305785124,-82.2072538860104,-87.746875
45,4.98,4.46,-69.8265720081136,-76.9836233367451,-75.016210739615,-91.0708333333333,-83.3299284984678
46,5.98,4.46,-70.0113871635611,-73.0639834881321,-71.9628482972136,-97.0609375,-81.9122257053291
47,5.98,3.46,-74.1572580645161,-76.1442986881937,-71.3504531722054,-97.9989888776542,-90.9511201629328
48,5.98,2.46,-76.6882051282051,-72.1566632756867,-72.3224489795918,-91.9532224532225,-82.1624106230848
49,5.98,1.6,-75.2622448979592,-84.1608961303462,-71.0546006066734,-84.2381930184805,-84.4841997961264
50,4.98,1.6,-71.1322482197355,-90.0763673890609,-69.587995930824,-82.2326064382139,-86.7903391572456
51,4,1.1,-72.0818833162743,-73.8212461695608,-75.1611909650924,-87.0563086548488,-89.5186335403727
52,3,1.1,-70.1617497456765,-78.7619532044761,-75.0661241098678,-94.7336956521739,-75.1597151576806
53,2,1.1,-60.3002028397566,-74.0692464358452,-76.3493360572012,-97.9513184584178,-82.7217125382263
54,1,1.1,-56.3971774193548,-93.8536312849162,-83.3458799593082,-85.0527918781726,-92.6744659206511
