x,y,rssi1,rssi2,rssi3,rssi4
0.5,0.5,-53.11860104,-53.13258924,-32.89052502,-54.43823276
0.5,1,-53.8007094,-51.40616509,-40.32693979,-52.89478896
0.5,1.5,-53.07584407,-52.90338565,-41.56813026,-51.25907635
0.5,2,-47.8301851,-54.88736098,-40.04658872,-55.1520147
0.5,2.5,-50.39059902,-49.40783461,-43.34542799,-54.81692116
0.5,3,-48.74807613,-51.81622478,-45.54909486,-53.25522481
0.5,3.5,-46.75650383,-49.88039945,-45.6011337,-52.55679209
0.5,4,-42.21665577,-51.85781887,-47.87803057,-57.46112675
0.5,4.5,-42.44095699,-51.47545189,-47.8631682,-52.91605071
1,4.5,-47.10169632,-56.73833372,-47.64372089,-53.30617927
1,4,-43.86888225,-51.64511941,-48.77155539,-58.29916351
1,3.5,-49.92666244,-51.10905493,-49.22959309,-56.42741245
1,3,-52.21516157,-53.889933,-48.80680129,-51.83766519
1,2.5,-47.41138269,-48.90265485,-48.23112434,-52.51419209
1,2,-49.48525831,-51.37277636,-44.3825807,-55.89369675
1,1.5,-49.90216816,-49.75288071,-43.76108982,-53.03913608
1,1,-55.00787262,-52.59238119,-42.68861096,-50.91679174
1,0.5,-54.07048274,-52.31676226,-36.29656694,-53.88594525
1.5,0.5,-56.67436604,-51.05458429,-44.32620553,-54.90049242
1.5,1,-48.49876328,-50.43135864,-43.43139156,-50.20773302
1.5,1.5,-53.70752333,-52.57539119,-44.27827997,-51.69266716
1.5,2,-50.89900764,-47.94219044,-44.59925472,-54.05875909
1.5,2.5,-50.51739351,-52.66670852,-47.17428453,-54.13912931
1.5,3,-46.40785613,-48.01559791,-48.42623582,-54.51959085
1.5,3.5,-46.05802746,-50.39482348,-46.65087841,-52.45120969
1.5,4,-49.92710813,-47.30611746,-52.29790146,-58.03634962
1.5,4.5,-45.40866004,-52.59652179,-53.7576915,-55.75852479
2,4.5,-49.86688926,-51.78173159,-51.21304444,-55.7551575
2,4,-46.28947051,-49.89334912,-52.64487072,-56.30007956
2,3.5,-48.85299094,-47.81521204,-49.77671139,-53.17141395
2,3,-52.61870657,-48.82767854,-51.38496737,-54.6583347
2,2.5,-53.01121233,-46.9075597,-46.32825092,-55.0369289
2,2,-55.53217076,-46.90374064,-50.71696054,-51.23716674
2,1.5,-51.67107569,-50.2539219,-49.57927594,-53.06783714
2,1,-53.95449551,-50.16337681,-45.97587958,-55.81323625
2,0.5,-52.57067823,-59.09662214,-48.31991607,-51.55609592
2.5,0.5,-49.81483378,-51.83607388,-47.40595087,-46.31892354
2.5,1,-53.54186737,-52.94673807,-46.30675334,-54.96882861
2.5,1.5,-51.5342137,-50.25235957,-46.962036,-54.86838115
2.5,2,-50.37302563,-47.28065909,-48.51472678,-47.26158806
2.5,2.5,-48.28816065,-46.5548326,-49.4848654,-51.82141759
2.5,3,-49.47005951,-53.7175492,-51.19407756,-49.39827058
2.5,3.5,-49.13006199,-51.56576548,-50.30703816,-50.29857961
2.5,4,-53.95008459,-45.05791171,-53.20077101,-56.15576749
2.5,4.5,-52.45872136,-54.68336796,-50.44194197,-52.46753775
3,4.5,-47.14634038,-49.534953,-53.25976474,-52.67197654
3,4,-50.45847656,-45.88353137,-49.68157348,-53.52951815
3,3.5,-54.03104083,-46.95092289,-50.57417282,-54.57616059
3,3,-52.95531421,-48.08722533,-52.26504063,-53.41485644
3,2.5,-50.91537986,-50.25540155,-48.98561494,-48.34680934
3,2,-51.42555201,-50.78241164,-49.72725108,-49.30800808
3,1.5,-56.29290694,-48.87830313,-48.37310514,-54.94263004
3,1,-49.07405426,-48.86113406,-49.76746902,-49.20530609
3,0.5,-52.03045708,-52.29981543,-47.83557268,-46.57286675
3.5,0.5,-52.9881373,-53.14424534,-46.02562543,-46.35635631
3.5,1,-55.69178572,-47.41822369,-51.3124367,-47.18973993
3.5,1.5,-50.2294204,-47.92820591,-52.37832383,-51.27473279
3.5,2,-51.71367291,-49.32095224,-52.85787392,-48.44591305
3.5,2.5,-52.17914505,-43.73925622,-49.10041307,-52.1137273
3.5,3,-49.23452539,-48.95755948,-50.33590779,-48.42914383
3.5,3.5,-52.59890676,-44.18170285,-53.64491488,-52.49843528
3.5,4,-52.69266304,-45.45964553,-52.47791445,-50.71010457
3.5,4.5,-55.24822464,-45.45924553,-51.47083853,-51.98203239
4,4.5,-51.05406397,-40.06369879,-50.66825593,-46.78282505
4,4,-52.97598111,-42.7223256,-50.72903543,-51.6101683
4,3.5,-51.67245111,-43.5893807,-48.43271877,-49.92051708
4,3,-52.03605995,-45.25875057,-55.34374856,-46.13057073
4,2.5,-52.93204621,-50.19227517,-49.66543607,-48.72021541
4,2,-51.40132789,-49.25873648,-54.75602998,-50.31883451
4,1.5,-49.08208003,-51.47010407,-52.01400656,-47.03126298
4,1,-50.92327981,-51.5068164,-54.35770839,-46.58108395
4,0.5,-52.23211853,-51.03722263,-51.28055947,-44.35175172
4.5,0.5,-51.47868813,-51.41689031,-51.67594756,-39.61757825
4.5,1,-49.21445718,-49.05752957,-50.83315193,-43.54716283
4.5,1.5,-50.45438484,-53.96910446,-51.57138824,-46.75899012
4.5,2,-54.02768011,-46.21037185,-50.85162373,-49.39582381
4.5,2.5,-54.40266627,-55.05085667,-51.65747622,-45.23316446
4.5,3,-51.09071837,-47.75027046,-51.76164864,-53.9060079
4.5,3.5,-54.23712213,-46.57735177,-55.74393816,-54.8349302
4.5,4,-51.04366546,-41.44246714,-50.83198892,-51.92635229
4.5,4.5,-51.29673289,-35.12637174,-52.19937552,-48.42435856
