x,y,rssi1,rssi2,rssi3,rssi4
0.5,0.5,-58.70225326,-54.64771023,-35.48078575,-56.47309616
0.5,1,-50.73425959,-54.80312044,-43.37711468,-48.44154735
0.5,1.5,-51.75027361,-52.70209499,-42.50772175,-52.09606095
0.5,2,-53.6150321,-52.69198593,-45.60036438,-57.72885809
0.5,2.5,-51.83073767,-53.0217672,-46.44296767,-55.07300863
0.5,3,-49.73627398,-55.8118425,-51.41032164,-57.84624467
0.5,3.5,-52.60033337,-52.20650209,-49.79880562,-59.79653701
0.5,4,-50.53236276,-58.10786902,-50.78771667,-57.19426744
0.5,4.5,-44.75193889,-48.87248857,-51.3153329,-55.90916952
1,4.5,-40.15194418,-51.78195689,-52.9470056,-59.81155124
1,4,-50.56563259,-51.01753097,-50.17332572,-58.43674964
1,3.5,-49.16720786,-55.92997663,-52.1899296,-56.44298326
1,3,-51.90369181,-52.87188748,-50.41380273,-55.46904534
1,2.5,-53.74822974,-50.90925899,-45.60701105,-56.09884281
1,2,-52.34992472,-55.07904131,-50.24126758,-53.45009543
1,1.5,-50.27183323,-54.62885516,-43.51721205,-53.12367165
1,1,-56.23092551,-55.59282533,-41.73279878,-52.6003139
1,0.5,-57.60610259,-51.56963547,-41.72088181,-49.81404976
1.5,0.5,-54.95459122,-53.42269849,-42.31575246,-54.20244321
1.5,1,-53.63986587,-57.30955235,-43.39801026,-50.89255278
1.5,1.5,-56.87669647,-57.04289418,-45.76087089,-56.11769193
1.5,2,-53.48839248,-51.1597516,-49.45395879,-52.77233506
1.5,2.5,-49.37074164,-53.95884882,-49.00360358,-57.16914602
1.5,3,-50.38211701,-52.57374711,-51.24066396,-56.39372475
1.5,3.5,-52.00620823,-53.13100501,-54.42911716,-56.22505008
1.5,4,-50.66280685,-51.53470285,-53.79605287,-57.99511569
1.5,4.5,-45.64937083,-51.40957463,-55.05472325,-53.90344638
2,4.5,-49.84830242,-51.13624955,-53.70781622,-54.81521977
2,4,-52.65600053,-49.45410215,-56.41280308,-51.36088186
2,3.5,-55.23402037,-52.02558563,-50.71205168,-59.14825053
2,3,-53.47271221,-52.97544241,-48.78743742,-51.90158551
2,2.5,-55.10768999,-52.8319006,-49.32454645,-55.84979953
2,2,-52.33479603,-54.78743653,-50.82122446,-57.71430978
2,1.5,-55.46461973,-52.08893414,-48.16130396,-48.08606979
2,1,-52.80983433,-50.94126938,-48.02677376,-50.39957978
2,0.5,-51.75829129,-51.08013205,-47.94812433,-54.11044791
2.5,0.5,-53.56442418,-50.86604085,-50.96533373,-53.90701359
2.5,1,-54.64336659,-50.27447268,-48.48857324,-50.93312558
2.5,1.5,-52.19950379,-52.31365848,-49.97284528,-53.7868129
2.5,2,-51.67277189,-52.75685996,-51.98458479,-56.5075345
2.5,2.5,-52.25127546,-49.1800389,-48.41984915,-52.85708795
2.5,3,-56.30810308,-47.87028727,-52.24916804,-51.78047913
2.5,3.5,-50.29924789,-45.61069732,-54.55321916,-51.86938202
2.5,4,-56.34010092,-46.40472469,-54.13486581,-57.37503681
2.5,4.5,-51.26623684,-48.90467039,-56.32238942,-55.01394954
3,4.5,-49.66362219,-49.35546969,-53.61651973,-52.26891166
3,4,-52.09388954,-48.33999919,-51.16917702,-53.61367791
3,3.5,-52.62878302,-48.30161355,-51.45363235,-55.56116949
3,3,-50.80399082,-46.9510373,-51.30567108,-55.68460159
3,2.5,-51.68353117,-47.50701928,-49.84535767,-52.09718158
3,2,-51.82938685,-49.77242254,-48.56430404,-50.99133754
3,1.5,-51.40679525,-50.45956482,-51.16500845,-55.52396798
3,1,-52.09129146,-52.15300669,-48.4496596,-51.12297387
3,0.5,-56.29548825,-53.3735131,-55.2089523,-51.2858232
3.5,0.5,-55.47092786,-52.73961782,-48.6484,-47.60529956
3.5,1,-51.66803035,-54.7138944,-51.3511079,-48.96026752
3.5,1.5,-50.30925552,-51.4290206,-54.03908845,-51.46102976
3.5,2,-53.88063833,-50.01507735,-48.53721701,-50.29185923
3.5,2.5,-51.31165097,-43.01188964,-49.52392322,-53.39613168
3.5,3,-56.02080543,-47.89604407,-53.6614025,-57.00896192
3.5,3.5,-53.71278181,-44.3969899,-52.97657367,-55.32330179
3.5,4,-54.69035775,-43.36022373,-55.76569197,-56.1493513
3.5,4.5,-55.44611903,-48.21134897,-52.92859189,-56.08357549
4,4.5,-53.21571235,-44.80616599,-53.32599432,-53.85501286
4,4,-51.22486022,-46.56166055,-53.48015193,-51.21383265
4,3.5,-53.44367078,-44.94245255,-53.23803399,-50.72453109
4,3,-53.47383985,-45.94918355,-56.77668295,-53.33525282
4,2.5,-53.92389373,-46.17365129,-51.79925668,-54.37076158
4,2,-52.77956094,-45.74189591,-51.13722868,-47.77604384
4,1.5,-57.9478486,-48.52901043,-48.48518964,-47.14017828
4,1,-53.03177625,-47.81103964,-53.7453194,-52.92878468
4,0.5,-57.19041762,-54.04785943,-53.50196292,-45.80860845
4.5,0.5,-53.13891543,-55.30265683,-50.94850143,-42.88473463
4.5,1,-60.00179682,-47.29684248,-51.98516274,-48.37709521
4.5,1.5,-53.64095671,-48.44801442,-54.98980152,-47.65206785
4.5,2,-63.93468857,-45.62754321,-53.86020782,-47.57629638
4.5,2.5,-58.42893523,-46.19803354,-52.30735912,-49.24596056
4.5,3,-51.06592596,-47.82407829,-54.43145366,-46.36624424
4.5,3.5,-54.12962943,-43.82990062,-51.32216944,-51.75062451
4.5,4,-52.1547086,-44.84984475,-53.13904061,-48.97020573
4.5,4.5,-54.08094825,-36.01263194,-55.58666487,-52.11283407
