x,y,wifi_rssi1,wifi_rssi2,wifi_rssi3,wifi_rssi4,sle_rssi1,sle_rssi2,sle_rssi3,sle_rssi4
0.5,0.5,-64.31931603,-57.99507531,-38.93127921,-54.87997484,-58.70225326,-54.64771023,-35.48078575,-56.47309616
0.5,1.0,-53.18425313,-56.7457716,-48.80256524,-58.86717793,-50.73425959,-54.80312044,-43.37711468,-48.44154735
0.5,1.5,-53.76305205,-54.89273181,-51.85069579,-64.23302562,-51.75027361,-52.70209499,-42.50772175,-52.09606095
0.5,2.0,-57.13094591,-59.09497209,-47.77713278,-65.77062612,-53.6150321,-52.69198593,-45.60036438,-57.72885809
0.5,2.5,-54.54177935,-60.08099469,-47.89613522,-55.86338807,-51.83073767,-53.0217672,-46.44296767,-55.07300863
0.5,3.0,-57.03178636,-58.17484938,-54.54510897,-66.20146144,-49.73627398,-55.8118425,-51.41032164,-57.84624467
0.5,3.5,-52.93840517,-58.54670162,-57.90761658,-63.12529588,-52.60033337,-52.20650209,-49.79880562,-59.79653701
0.5,4.0,-46.6115437,-54.84843277,-54.76314982,-60.98074917,-50.53236276,-58.10786902,-50.78771667,-57.19426744
0.5,4.5,-55.74890974,-58.02490802,-50.24962093,-56.27576798,-44.75193889,-48.87248857,-51.3153329,-55.90916952
1.0,4.5,-40.89334432,-61.11091025,-50.16342947,-59.14853523,-40.15194418,-51.78195689,-52.9470056,-59.81155124
1.0,4.0,-59.77246469,-60.94081757,-56.24406418,-60.34134611,-50.56563259,-51.01753097,-50.17332572,-58.43674964
1.0,3.5,-57.30662678,-58.97500993,-57.13294034,-61.90596303,-49.16720786,-55.92997663,-52.1899296,-56.44298326
1.0,3.0,-54.98487092,-63.31049829,-58.41776904,-56.83363575,-51.90369181,-52.87188748,-50.41380273,-55.46904534
1.0,2.5,-57.71481817,-54.89397512,-49.45904123,-58.53972873,-53.74822974,-50.90925899,-45.60701105,-56.09884281
1.0,2.0,-62.34420745,-49.31446051,-56.11403708,-55.37072261,-52.34992472,-55.07904131,-50.24126758,-53.45009543
1.0,1.5,-49.33192774,-54.20733607,-57.31528656,-58.78682345,-50.27183323,-54.62885516,-43.51721205,-53.12367165
1.0,1.0,-66.34011194,-56.50208381,-47.23115568,-64.14090801,-56.23092551,-55.59282533,-41.73279878,-52.6003139
1.0,0.5,-61.12914326,-52.9960613,-44.08670519,-50.62382334,-57.60610259,-51.56963547,-41.72088181,-49.81404976
1.5,0.5,-61.63199961,-46.73905454,-49.09784789,-62.83447372,-54.95459122,-53.42269849,-42.31575246,-54.20244321
1.5,1.0,-54.82319185,-53.94052232,-47.22568269,-62.44133313,-53.63986587,-57.30955235,-43.39801026,-50.89255278
1.5,1.5,-57.73637493,-57.98558179,-51.9510713,-52.88912644,-56.87669647,-57.04289418,-45.76087089,-56.11769193
1.5,2.0,-57.0218299,-57.07108019,-50.01494626,-51.10429851,-53.48839248,-51.1597516,-49.45395879,-52.77233506
1.5,2.5,-64.32650922,-60.19796687,-54.48247626,-53.91194647,-49.37074164,-53.95884882,-49.00360358,-57.16914602
1.5,3.0,-62.28208538,-50.17953742,-46.64887063,-61.18981957,-50.38211701,-52.57374711,-51.24066396,-56.39372475
1.5,3.5,-52.61068506,-51.3303462,-54.66495558,-59.17947518,-52.00620823,-53.13100501,-54.42911716,-56.22505008
1.5,4.0,-54.43356292,-54.49526909,-61.71271008,-54.42171522,-50.66280685,-51.53470285,-53.79605287,-57.99511569
1.5,4.5,-44.63570351,-58.0704493,-58.83470034,-51.48122713,-45.64937083,-51.40957463,-55.05472325,-53.90344638
2.0,4.5,-47.72792866,-53.88084218,-56.9054949,-59.23523223,-49.84830242,-51.13624955,-53.70781622,-54.81521977
2.0,4.0,-58.48872175,-54.72216883,-54.49429852,-51.1609435,-52.65600053,-49.45410215,-56.41280308,-51.36088186
2.0,3.5,-62.1525903,-56.37391295,-53.16138278,-57.06010204,-55.23402037,-52.02558563,-50.71205168,-59.14825053
2.0,3.0,-53.23986888,-47.41427385,-53.50609641,-60.12590067,-53.47271221,-52.97544241,-48.78743742,-51.90158551
2.0,2.5,-59.14546137,-53.31047208,-48.17164998,-58.27582816,-55.10768999,-52.8319006,-49.32454645,-55.84979953
2.0,2.0,-48.23772156,-56.51182645,-53.27088242,-54.79394546,-52.33479603,-54.78743653,-50.82122446,-57.71430978
2.0,1.5,-58.94387168,-56.03733944,-52.19702098,-56.9558821,-55.46461973,-52.08893414,-48.16130396,-48.08606979
2.0,1.0,-57.04001516,-58.6532717,-49.98769094,-57.08097336,-52.80983433,-50.94126938,-48.02677376,-50.39957978
2.0,0.5,-65.14218708,-53.59801149,-49.23416684,-61.9320424,-51.75829129,-51.08013205,-47.94812433,-54.11044791
2.5,0.5,-57.92622486,-56.33860627,-58.33093973,-61.92943779,-53.56442418,-50.86604085,-50.96533373,-53.90701359
2.5,1.0,-57.18314748,-49.40473999,-47.22281055,-53.60060776,-54.64336659,-50.27447268,-48.48857324,-50.93312558
2.5,1.5,-57.51712002,-51.32217991,-56.52436167,-66.67608742,-52.19950379,-52.31365848,-49.97284528,-53.7868129
2.5,2.0,-51.33688832,-50.0151597,-60.88732402,-53.48200319,-51.67277189,-52.75685996,-51.98458479,-56.5075345
2.5,2.5,-61.89117912,-48.56191759,-48.08422394,-61.1363034,-52.25127546,-49.1800389,-48.41984915,-52.85708795
2.5,3.0,-65.25612987,-49.60312843,-52.49744285,-53.47592905,-56.30810308,-47.87028727,-52.24916804,-51.78047913
2.5,3.5,-57.63036175,-47.35378939,-57.31682176,-52.04763127,-50.29924789,-45.61069732,-54.55321916,-51.86938202
2.5,4.0,-60.5961244,-49.42935323,-62.32666387,-54.81159863,-56.34010092,-46.40472469,-54.13486581,-57.37503681
2.5,4.5,-51.78463534,-53.68722793,-63.98874276,-50.68686427,-51.26623684,-48.90467039,-56.32238942,-55.01394954
3.0,4.5,-52.59134984,-47.27857838,-65.43390394,-60.19375628,-49.66362219,-49.35546969,-53.61651973,-52.26891166
3.0,4.0,-51.43920035,-55.20221906,-55.10614255,-53.43763665,-52.09388954,-48.33999919,-51.16917702,-53.61367791
3.0,3.5,-57.2007872,-51.51016051,-50.61604255,-51.93364136,-52.62878302,-48.30161355,-51.45363235,-55.56116949
3.0,3.0,-60.59840966,-58.68685299,-52.16388948,-55.69704329,-50.80399082,-46.9510373,-51.30567108,-55.68460159
3.0,2.5,-65.10221866,-47.66278056,-53.94110359,-50.30180919,-51.68353117,-47.50701928,-49.84535767,-52.09718158
3.0,2.0,-55.30497402,-49.59278104,-55.40452302,-53.10966474,-51.82938685,-49.77242254,-48.56430404,-50.99133754
3.0,1.5,-62.58557188,-46.39768119,-51.73698839,-65.10807492,-51.40679525,-50.45956482,-51.16500845,-55.52396798
3.0,1.0,-65.97322984,-51.16655831,-54.15854412,-53.25404866,-52.09129146,-52.15300669,-48.4496596,-51.12297387
3.0,0.5,-57.22760842,-54.83370018,-60.71742772,-58.37042075,-56.29548825,-53.3735131,-55.2089523,-51.2858232
3.5,0.5,-57.37671231,-56.22214475,-52.03102446,-53.88444027,-55.47092786,-52.73961782,-48.6484,-47.60529956
3.5,1.0,-57.79173159,-58.98434331,-59.33954242,-49.44374829,-51.66803035,-54.7138944,-51.3511079,-48.96026752
3.5,1.5,-58.47765744,-49.31196328,-56.01086091,-45.22224712,-50.30925552,-51.4290206,-54.03908845,-51.46102976
3.5,2.0,-55.38063669,-48.04642583,-58.73461655,-61.45512551,-53.88063833,-50.01507735,-48.53721701,-50.29185923
3.5,2.5,-54.98812928,-46.41154904,-56.25962584,-55.47413199,-51.31165097,-43.01188964,-49.52392322,-53.39613168
3.5,3.0,-58.1018556,-55.04577341,-53.01936814,-58.56994325,-56.02080543,-47.89604407,-53.6614025,-57.00896192
3.5,3.5,-61.59007679,-44.01792455,-56.80016658,-54.74828041,-53.71278181,-44.3969899,-52.97657367,-55.32330179
3.5,4.0,-49.84477972,-48.22921074,-52.84971921,-58.82292731,-54.69035775,-43.36022373,-55.76569197,-56.1493513
3.5,4.5,-65.64697498,-46.78387883,-67.58216641,-60.15817948,-55.44611903,-48.21134897,-52.92859189,-56.08357549
4.0,4.5,-56.45837314,-44.85631291,-58.55303273,-53.97708759,-53.21571235,-44.80616599,-53.32599432,-53.85501286
4.0,4.0,-59.81331095,-48.11662179,-54.03706464,-50.94555756,-51.22486022,-46.56166055,-53.48015193,-51.21383265
4.0,3.5,-60.29595143,-52.92329313,-55.24312137,-51.75234917,-53.44367078,-44.94245255,-53.23803399,-50.72453109
4.0,3.0,-57.83171959,-44.69788343,-56.89714647,-56.73882435,-53.47383985,-45.94918355,-56.77668295,-53.33525282
4.0,2.5,-56.03444713,-58.43596466,-56.40173345,-56.26161879,-53.92389373,-46.17365129,-51.79925668,-54.37076158
4.0,2.0,-53.97528174,-49.50807672,-57.70111373,-67.22357137,-52.77956094,-45.74189591,-51.13722868,-47.77604384
4.0,1.5,-63.1624683,-54.66220653,-56.52294359,-49.53959049,-57.9478486,-48.52901043,-48.48518964,-47.14017828
4.0,1.0,-55.17880181,-50.61959082,-62.13740178,-44.57113985,-53.03177625,-47.81103964,-53.7453194,-52.92878468
4.0,0.5,-53.97767414,-59.44092245,-62.50971198,-53.09238922,-57.19041762,-54.04785943,-53.50196292,-45.80860845
4.5,0.5,-58.90542977,-61.03423705,-49.26418125,-45.24701413,-53.13891543,-55.30265683,-50.94850143,-42.88473463
4.5,1.0,-57.145069,-48.38011374,-53.75680476,-55.80009923,-60.00179682,-47.29684248,-51.98516274,-48.37709521
4.5,1.5,-51.75980821,-51.763041,-53.34845123,-46.43327247,-53.64095671,-48.44801442,-54.98980152,-47.65206785
4.5,2.0,-61.29041607,-46.82238468,-53.58043863,-56.02374083,-63.93468857,-45.62754321,-53.86020782,-47.57629638
4.5,2.5,-57.47528431,-48.35914985,-56.29712601,-52.99097282,-58.42893523,-46.19803354,-52.30735912,-49.24596056
4.5,3.0,-55.821963,-44.43090505,-62.09258067,-52.58282901,-51.06592596,-47.82407829,-54.43145366,-46.36624424
4.5,3.5,-56.37334679,-49.4408151,-55.06960871,-52.01839579,-54.12962943,-43.82990062,-51.32216944,-51.75062451
4.5,4.0,-63.78355759,-42.76564619,-58.90344029,-53.77626023,-52.1547086,-44.84984475,-53.13904061,-48.97020573
4.5,4.5,-55.82870613,-37.95522433,-60.51987936,-58.4480937,-54.08094825,-36.01263194,-55.58666487,-52.11283407
