x,y,rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8
1,1,-68.3751429,-69.76709143,-65.64697546,-63.99099968,-69.75769838,-40.26318947,-68.09369632,-63.93826681
1,2,-69.32207215,-65.22030542,-65.83599676,-63.32290282,-67.24388368,-45.21583851,-67.02596806,-65.38105077
1,3,-74.40605314,-63.76125393,-65.51416376,-61.20897696,-66.45412887,-47.77489497,-67.76295385,-66.54064066
1,4,-68.38198275,-62.99204036,-65.16665919,-59.27906048,-65.8171508,-50.61527917,-61.85524689,-66.06109658
1,5,-63.46919555,-65.70484641,-65.48631457,-59.2738736,-65.48932477,-52.86516284,-62.95918089,-66.97490314
1,6,-63.69809861,-69.52438875,-67.44513895,-61.24138029,-65.08359964,-54.1648225,-63.36293831,-67.71784553
1,7,-67.30868128,-64.25325772,-67.84045835,-52.93175799,-65.22933474,-53.82604336,-62.34190636,-67.58512466
1,8,-60.85828766,-59.27943563,-69.0542674,-43.01424477,-69.23349298,-54.89215817,-60.00373983,-69.93701827
1,9,-67.43674869,-59.14440824,-68.21466466,-43.05225577,-68.73649688,-57.58113213,-61.78496665,-71.97362842
1,10,-62.26070824,-63.10447496,-68.10668339,-51.29422081,-71.39192069,-57.16780547,-66.21940969,-73.12359394
1,11,-64.64304155,-63.36662938,-65.54873826,-52.45850917,-71.04681552,-60.16416456,-62.61106316,-73.02912584
1,12,-60.87229101,-60.6305011,-62.98227425,-55.66250967,-71.67682966,-62.32041983,-60.6944401,-73.99020519
1,13,-60.20265141,-63.67035017,-61.83192078,-60.75324028,-71.88733803,-61.93128268,-60.59418888,-73.5931347
1,14,-62.79320364,-64.66615185,-63.45302736,-61.75088529,-68.87924953,-60.86895781,-61.11898911,-73.91184444
1,15,-58.87145206,-66.11549204,-62.58935578,-59.76045456,-69.79048629,-60.34880507,-64.13425503,-71.8764208
2,15,-61.18203658,-67.6116385,-62.29510889,-61.62471443,-69.091304,-61.44880502,-63.29241108,-73.77722183
2,14,-57.52451016,-61.16383003,-60.54107737,-63.85925759,-68.57791702,-60.65873548,-60.16555677,-74.17381388
2,13,-58.67235883,-62.19856074,-61.13692088,-65.10562212,-70.26371522,-61.6538243,-60.08211073,-74.83470367
2,12,-64.58600166,-62.70340928,-62.42535381,-59.55251887,-71.94573785,-61.60375002,-60.64208998,-73.89109813
2,11,-62.45516896,-58.49260061,-62.66286761,-53.57968245,-71.39250776,-58.54293547,-63.0300244,-73.41983306
2,10,-60.17448598,-59.46714086,-65.84596616,-54.33095307,-69.9266629,-56.22535054,-63.31078898,-70.98999263
2,9,-69.68718895,-61.45021032,-65.15586539,-53.53634547,-68.75086545,-56.70451293,-59.2914771,-70.78758848
2,8,-60.99503907,-59.41968698,-66.30261967,-49.98576701,-65.18571606,-55.16136879,-60.80342123,-67.89820272
2,7,-68.8899595,-61.13055743,-67.93105619,-62.24774242,-63.74701542,-55.64377358,-63.59793975,-66.65917594
2,6,-63.64104999,-69.50766595,-68.09066542,-53.36121977,-62.20726884,-54.68007786,-63.93403411,-67.25438456
2,5,-63.34766653,-65.98319761,-66.26974817,-58.83321403,-61.77506724,-55.26053261,-62.36621142,-66.58124046
2,4,-70.40475388,-63.77858202,-65.6493231,-60.55814238,-62.36025222,-53.25752664,-63.98589261,-66.40960776
2,3,-71.28732837,-63.29870689,-65.74814609,-60.49230094,-65.22742911,-48.61330219,-64.72094772,-65.60309491
2,2,-72.66009677,-63.74668318,-65.44369263,-61.96361901,-66.30452518,-48.44197772,-65.38643293,-65.78091799
2,1,-71.38374751,-67.39677677,-66.10524798,-68.16653909,-66.58187361,-52.27603771,-63.1054428,-65.29526414
