x,y,rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8
1.5,1.5,-69.01804707,-72.18330355,-80.71721013,-66.55865602,-63.49161072,-45.56610448,-64.91788086,-67.87047908
1.5,3,-73.3060208,-68.19965291,-79.90506906,-66.32374167,-71.10380918,-51.12666157,-68.0344745,-68.87885584
1.5,4.5,-73.34057905,-63.74526118,-78.63081467,-63.58015444,-65.67297121,-57.69646926,-68.72398458,-67.0640449
1.5,6,-68.20980679,-63.5735554,-70.44162177,-59.96516193,-67.51006752,-59.48425394,-66.03903404,-68.67741398
1.5,7.5,-68.2439738,-64.88270529,-74.35162931,-60.99688724,-64.45142902,-56.95352337,-62.75078066,-67.06192021
1.5,9,-72.58970935,-66.86901456,-76.60382918,-62.40457224,-69.62441986,-59.23767967,-66.35791997,-69.89633617
1.5,10.5,-68.50424666,-74.20049019,-79.57302155,-61.66050194,-68.14556801,-60.13049568,-66.2900354,-69.72864376
1.5,12,-70.60103848,-71.87016979,-76.38736147,-54.40099979,-72.46592706,-60.42044523,-63.96685033,-66.58342528
1.5,13.5,-73.85721408,-71.21872269,-70.05036671,-56.9199485,-72.0044329,-64.35621811,-66.2434446,-67.74204132
1.5,15,-69.77665706,-71.74360542,-65.47886949,-50.57498542,-75.07209074,-61.90541704,-68.46150369,-68.37906869
1.5,16.5,-70.52673805,-68.35097389,-72.02895451,-53.69802815,-75.36827799,-67.17039613,-67.55894081,-72.20370074
1.5,18,-61.51832306,-62.80245686,-66.89964254,-64.70992502,-70.17303889,-65.20588306,-74.61278791,-68.17724576
1.5,19.5,-63.87336563,-64.19534803,-73.77481357,-61.09650444,-70.30892974,-62.84940861,-64.95968121,-71.24187549
1.5,21,-63.60095928,-63.60057546,-68.66564764,-62.52708239,-67.63766924,-61.96568345,-65.8718685,-75.26198253
1.5,22.5,-72.26684392,-62.08992344,-65.85968465,-64.57163407,-65.36303334,-62.72161703,-63.77347167,-73.66089261
1.5,24,-60.04937584,-60.03867099,-68.28937218,-70.58923226,-66.73988744,-60.63054499,-65.7904092,-74.77903671
1.5,25.5,-59.4325721,-60.97460627,-69.68381313,-64.86547434,-75.78881505,-63.22724046,-64.70025405,-76.57529036
1.5,27,-60.0516419,-70.68550606,-73.18554384,-67.95267414,-71.6525624,-63.27592702,-69.22657912,-72.83344216
3,27,-65.9334841,-66.18583438,-73.91815864,-68.30008375,-73.28376085,-66.00589147,-71.81721022,-71.65741524
