x,y,ble_rssi1,ble_rssi2,ble_rssi3,ble_rssi4,ble_rssi5,ble_rssi6,ble_rssi7,ble_rssi8,sle_rssi1,sle_rssi2,sle_rssi3,sle_rssi4,sle_rssi5,sle_rssi6,sle_rssi7,sle_rssi8
1.5,1.5,-69.01804707,-72.18330355,-80.71721013,-66.55865602,-63.49161072,-45.56610448,-64.91788086,-67.87047908,-71.74964195,-69.78764716,-76.79345364,-65.79152123,-63.51763571,-44.15359967,-67.03852795,-70.46480846
1.5,3.0,-73.3060208,-68.19965291,-79.90506906,-66.32374167,-71.10380918,-51.12666157,-68.0344745,-68.87885584,-71.36679959,-68.02703842,-80.2126881,-64.39003412,-74.29981626,-52.20249401,-64.0791471,-70.82576011
1.5,4.5,-73.34057905,-63.74526118,-78.63081467,-63.58015444,-65.67297121,-57.69646926,-68.72398458,-67.0640449,-68.79153177,-62.46828775,-75.29673653,-64.29056964,-64.07398665,-54.46891637,-67.80380791,-68.24868273
1.5,6.0,-68.20980679,-63.5735554,-70.44162177,-59.96516193,-67.51006752,-59.48425394,-66.03903404,-68.67741398,-65.90853809,-62.99194494,-71.83706699,-62.97322881,-63.26675491,-57.68466104,-66.44040138,-71.2243006
1.5,7.5,-68.2439738,-64.88270529,-74.35162931,-60.99688724,-64.45142902,-56.95352337,-62.75078066,-67.06192021,-68.38679445,-65.90125821,-75.6692036,-65.0286199,-62.27630592,-55.08377082,-65.9235636,-70.0955693
1.5,9.0,-72.58970935,-66.86901456,-76.60382918,-62.40457224,-69.62441986,-59.23767967,-66.35791997,-69.89633617,-69.25531081,-65.22598296,-77.54781659,-56.68441621,-65.34711948,-56.11425374,-65.49158774,-71.32659459
1.5,10.5,-68.50424666,-74.20049019,-79.57302155,-61.66050194,-68.14556801,-60.13049568,-66.2900354,-69.72864376,-67.53985018,-71.45101563,-76.00070903,-53.17069472,-66.35658009,-58.25132151,-63.60341891,-72.69523035
1.5,12.0,-70.60103848,-71.87016979,-76.38736147,-54.40099979,-72.46592706,-60.42044523,-63.96685033,-66.58342528,-66.77234408,-70.97065466,-74.39752515,-57.27858624,-70.27331833,-62.20662199,-66.05235908,-68.86177364
1.5,13.5,-73.85721408,-71.21872269,-70.05036671,-56.9199485,-72.0044329,-64.35621811,-66.2434446,-67.74204132,-69.95488427,-74.80524993,-69.64686952,-51.51684409,-73.53724505,-62.42594922,-68.69973158,-70.15442584
1.5,15.0,-69.77665706,-71.74360542,-65.47886949,-50.57498542,-75.07209074,-61.90541704,-68.46150369,-68.37906869,-68.0265789,-67.76586999,-68.60359871,-44.08719658,-75.2325369,-59.73404019,-72.1555626,-70.81791375
1.5,16.5,-70.52673805,-68.35097389,-72.02895451,-53.69802815,-75.36827799,-67.17039613,-67.55894081,-72.20370074,-62.60933047,-62.35604542,-66.55120532,-56.73837739,-75.19324242,-65.49560134,-72.13855411,-75.09443729
1.5,18.0,-61.51832306,-62.80245686,-66.89964254,-64.70992502,-70.17303889,-65.20588306,-74.61278791,-68.17724576,-62.24417595,-60.6964979,-66.3211969,-59.00030323,-75.67797501,-62.88325525,-77.0772333,-73.36436894
1.5,19.5,-63.87336563,-64.19534803,-73.77481357,-61.09650444,-70.30892974,-62.84940861,-64.95968121,-71.24187549,-61.40584233,-60.04254124,-74.7477792,-65.22448241,-68.06450066,-63.04084508,-71.55382007,-73.78750088
1.5,21.0,-63.60095928,-63.60057546,-68.66564764,-62.52708239,-67.63766924,-61.96568345,-65.8718685,-75.26198253,-64.8109994,-62.92458025,-69.34252466,-59.86125323,-66.11489546,-62.26227959,-67.87003967,-75.32423857
1.5,22.5,-72.26684392,-62.08992344,-65.85968465,-64.57163407,-65.36303334,-62.72161703,-63.77347167,-73.66089261,-61.52001739,-67.01183603,-64.83063479,-60.58114124,-64.93986246,-63.83267829,-63.82662843,-77.81968061
1.5,24.0,-60.04937584,-60.03867099,-68.28937218,-70.58923226,-66.73988744,-60.63054499,-65.7904092,-74.77903671,-66.84164708,-63.07618362,-67.57795126,-64.53317589,-70.38797471,-61.77927123,-66.98737459,-76.84587894
1.5,25.5,-59.4325721,-60.97460627,-69.68381313,-64.86547434,-75.78881505,-63.22724046,-64.70025405,-76.57529036,-58.05833519,-63.43915019,-69.02906646,-64.36411139,-77.36766411,-62.77084909,-68.56608852,-78.18511659
1.5,27.0,-60.0516419,-70.68550606,-73.18554384,-67.95267414,-71.6525624,-63.27592702,-69.22657912,-72.83344216,-57.1441987,-63.1109182,-70.9975092,-67.98507411,-70.75661577,-63.94845796,-71.69641531,-78.60915532
3.0,27.0,-65.9334841,-66.18583438,-73.91815864,-68.30008375,-73.28376085,-66.00589147,-71.81721022,-71.65741524,-63.04993114,-64.84398229,-72.84484645,-67.48593861,-74.23615578,-63.63183824,-69.98117597,-77.64233522
3.0,25.5,-61.9824449,-64.62525397,-71.28772083,-64.81468427,-71.3413994,-64.88045867,-73.27324373,-72.28057535,-61.79379918,-64.71560233,-69.08781452,-65.17099582,-72.30142432,-61.32803871,-67.63969643,-78.91877134
3.0,24.0,-63.40117099,-60.82501566,-67.95237934,-64.615887,-72.59995538,-63.35235956,-64.40831347,-70.54017362,-64.51140672,-59.32902778,-67.97206073,-65.06559554,-74.2613146,-61.00616269,-66.04970151,-74.80480326
3.0,22.5,-66.92370088,-59.16009327,-66.46704292,-62.49690107,-65.03233554,-66.07194513,-66.56334659,-73.12109563,-65.09834338,-57.86823487,-67.50674457,-68.95923724,-69.30060069,-60.59057931,-66.59247345,-73.10549622
