x,y,rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8
1.5,1.5,-75.07241429,-72.79798363,-76.98242737,-65.9581455,-66.34650183,-45.80509269,-67.28182351,-69.83693563
1.5,3,-72.28548895,-69.25178675,-79.69700674,-63.9296239,-71.46814489,-57.10291018,-70.45310382,-76.27394085
1.5,4.5,-70.38621684,-65.78770183,-77.14094616,-61.64487239,-69.30610335,-51.77548716,-66.00990562,-70.16397051
1.5,6,-75.0803151,-66.59379162,-73.30419975,-63.1285133,-67.11599798,-50.8298999,-66.567496,-78.84889523
1.5,7.5,-97.16393618,-65.30288293,-74.8507756,-66.36489648,-65.99252955,-56.91850638,-63.27716097,-65.43669109
1.5,9,-71.66737992,-68.27342239,-80.74835653,-60.16477126,-66.74283524,-59.25965141,-61.44888729,-68.1284919
1.5,10.5,-69.19781554,-69.56754754,-77.22405102,-55.94385168,-66.44264786,-57.83816639,-59.61019837,-75.28878126
1.5,12,-65.78672228,-73.85185664,-79.8187308,-54.37948033,-68.6313703,-63.16122841,-61.0741426,-67.04505511
1.5,13.5,-67.26685204,-72.32528563,-69.73126882,-53.13003867,-73.184184,-67.23318359,-66.39508403,-70.76229568
1.5,15,-65.7358127,-71.59855987,-68.30932031,-46.62138962,-77.03893532,-65.82996126,-65.60390521,-66.03102063
1.5,16.5,-62.31691583,-68.41908094,-70.9397432,-52.17965636,-76.888766,-65.44886697,-70.77113787,-71.33703029
1.5,18,-62.19008851,-64.84147991,-69.72212325,-59.40002759,-70.43866666,-67.0629686,-73.03385339,-74.57213303
1.5,19.5,-68.57413255,-62.63954885,-75.6776033,-60.49280713,-66.72358237,-66.84217651,-68.14992243,-73.44890765
1.5,21,-68.65775737,-67.92028706,-66.81723074,-61.08681538,-65.9773177,-71.2936402,-66.76766478,-81.56987796
1.5,22.5,-68.80172532,-63.48464369,-67.88709828,-58.56360707,-65.52926768,-70.52780496,-62.44411588,-70.89395171
1.5,24,-67.23823381,-62.18372001,-68.97235148,-60.49352102,-65.5305563,-68.58885884,-75.97819914,-75.55764239
1.5,25.5,-54.63035677,-60.61282489,-69.82520045,-61.75515578,-75.07072554,-64.27354048,-65.39460956,-78.76822329
1.5,27,-58.26513626,-66.10239849,-70.39710168,-65.71258013,-73.11355822,-69.85772085,-65.03117613,-81.25117557
3,27,-65.51612344,-63.58936616,-71.69445933,-62.10616481,-73.25351022,-65.92579696,-67.95279088,-77.49088854
3,25.5,-65.10822804,-63.40416755,-68.80305647,-59.57321541,-69.3002236,-66.01887135,-65.7693721,-77.46767789
3,24,-65.59472795,-58.81598242,-66.2048038,-62.56170447,-66.34210623,-67.03788478,-62.04755127,-73.72673293
3,22.5,-68.5985458,-61.58634533,-68.58996546,-68.93372883,-65.49311637,-65.55023297,-64.23267387,-76.15096649
3,21,-67.6565145,-65.5398659,-98.62371765,-62.43848568,-64.50888705,-71.52838101,-60.6964567,-69.37198705
3,19.5,-69.13049496,-65.95544045,-69.87256295,-56.31282113,-65.53742721,-63.73326189,-65.30179278,-76.14819111
3,18,-66.3644763,-61.29246753,-67.33093206,-58.78062798,-74.08306509,-77.32869149,-66.42543234,-69.54430979
3,16.5,-67.29313782,-66.82441267,-68.16765887,-58.99264302,-100,-66.03759247,-71.13173047,-67.16644688
3,15,-66.7056722,-72.56451368,-66.07594414,-53.2229408,-81.46707177,-62.05077667,-70.65421459,-66.95215629
3,13.5,-66.89411648,-75.65803679,-71.50770896,-55.24006954,-77.9943149,-58.73964096,-71.55392631,-64.48430683
3,12,-68.94165637,-71.38811604,-71.42241424,-56.58400186,-69.69724761,-62.8185283,-64.93411266,-65.53300757
3,10.5,-66.21290652,-68.22750079,-75.74304856,-57.95328544,-67.65838972,-55.22832716,-60.43660439,-97.86676236
3,9,-67.54154435,-62.85732056,-74.93502108,-61.40818923,-65.72438163,-58.28740552,-61.72660425,-74.94894944
3,7.5,-74.49594736,-63.3237486,-78.94748041,-66.8835625,-65.75854547,-62.35209023,-61.46492906,-74.69084801
3,6,-74.12163228,-65.83095971,-66.44552194,-65.6912472,-66.15220185,-56.61824409,-63.38265743,-65.36059414
3,4.5,-68.12572564,-69.17387776,-76.26930327,-58.77951084,-79.12841519,-53.58428497,-62.59166741,-69.10300756
3,3,-77.90155061,-70.74677684,-80.70966274,-69.14493618,-69.07621008,-48.88073609,-65.50130873,-68.66151441
3,1.5,-72.80970774,-76.49558518,-77.61261277,-74.120603,-65.40695585,-48.65336758,-68.58147122,-72.86947443
4.5,1.5,-72.2229585,-72.48125723,-76.49149882,-69.58212562,-64.70442,-53.31611351,-71.4242743,-68.35505313
4.5,3,-70.54008342,-74.47770988,-76.55487555,-67.2162688,-65.7672489,-52.27903924,-60.08374563,-67.06513532
4.5,4.5,-74.70073355,-79.20931824,-74.80221706,-66.26046267,-72.48854591,-53.00452313,-68.24371485,-72.60293163
