Error,ECDF
5.523053699613168777e-02,6.666666666666666574e-02
1.477748534041546102e-01,1.333333333333333315e-01
5.202542527601452527e-01,2.000000000000000111e-01
6.000360493337199008e-01,2.666666666666666630e-01
6.130894324767189874e-01,3.333333333333333148e-01
6.901679029068743532e-01,4.000000000000000222e-01
6.968259972360940635e-01,4.666666666666666741e-01
8.696794492771401375e-01,5.333333333333333259e-01
9.629015848120934251e-01,5.999999999999999778e-01
1.056801069141250826e+00,6.666666666666666297e-01
1.201695488642297915e+00,7.333333333333332815e-01
1.586249048859174060e+00,8.000000000000000444e-01
1.855440422881748930e+00,8.666666666666666963e-01
2.077183380970080595e+00,9.333333333333333481e-01
2.294575728490756639e+00,1.000000000000000000e+00
