Error,ECDF
1.957602756458761140e-01,6.666666666666666574e-02
2.922744839487387836e-01,1.333333333333333315e-01
4.984912400719678782e-01,2.000000000000000111e-01
5.872928197902547165e-01,2.666666666666666630e-01
6.502659651728693868e-01,3.333333333333333148e-01
6.513297425946031893e-01,4.000000000000000222e-01
8.284881171370377384e-01,4.666666666666666741e-01
9.410112470934305362e-01,5.333333333333333259e-01
9.641514297266690070e-01,5.999999999999999778e-01
9.868787547227958479e-01,6.666666666666666297e-01
1.017749320402093316e+00,7.333333333333332815e-01
1.520997590167780800e+00,8.000000000000000444e-01
1.812241112139800103e+00,8.666666666666666963e-01
1.902099097701130503e+00,9.333333333333333481e-01
2.276536308680384924e+00,1.000000000000000000e+00
