Error,ECDF
2.081473049937100084e-01,6.666666666666666574e-02
2.737267748047597649e-01,1.333333333333333315e-01
3.793467438339206410e-01,2.000000000000000111e-01
4.290071330610345512e-01,2.666666666666666630e-01
5.165957561953653521e-01,3.333333333333333148e-01
7.098307535298595816e-01,4.000000000000000222e-01
8.344822596178339547e-01,4.666666666666666741e-01
8.655620379554648247e-01,5.333333333333333259e-01
9.373171266787388989e-01,5.999999999999999778e-01
1.141566005486439384e+00,6.666666666666666297e-01
1.180560942669500291e+00,7.333333333333332815e-01
1.590904051968798916e+00,8.000000000000000444e-01
1.596380790321179965e+00,8.666666666666666963e-01
1.636435090449332330e+00,9.333333333333333481e-01
2.091160962851051686e+00,1.000000000000000000e+00
