Error,ECDF
2.411893485041637919e-01,6.666666666666666574e-02
4.121037019518113964e-01,1.333333333333333315e-01
8.138504573051063007e-01,2.000000000000000111e-01
8.261314436384976645e-01,2.666666666666666630e-01
8.790383282510604301e-01,3.333333333333333148e-01
9.174841785365825952e-01,4.000000000000000222e-01
1.042258644850531990e+00,4.666666666666666741e-01
1.050843157024389907e+00,5.333333333333333259e-01
1.077853729427775242e+00,5.999999999999999778e-01
1.215349232653064604e+00,6.666666666666666297e-01
1.264447197095078357e+00,7.333333333333332815e-01
1.293867579932698630e+00,8.000000000000000444e-01
1.426964423448785935e+00,8.666666666666666963e-01
1.622970700109432229e+00,9.333333333333333481e-01
2.292405341733397606e+00,1.000000000000000000e+00
