Error,ECDF
6.877441391033957407e-02,6.666666666666666574e-02
2.328978882593522037e-01,1.333333333333333315e-01
3.994274424562003767e-01,2.000000000000000111e-01
7.047729663118866839e-01,2.666666666666666630e-01
8.330433794294707095e-01,3.333333333333333148e-01
8.399623606656121400e-01,4.000000000000000222e-01
9.010754510452508859e-01,4.666666666666666741e-01
1.259965088992349269e+00,5.333333333333333259e-01
1.270812928488796789e+00,5.999999999999999778e-01
1.322451549697249762e+00,6.666666666666666297e-01
1.323373203821070598e+00,7.333333333333332815e-01
1.324969227566257235e+00,8.000000000000000444e-01
1.600726291160912362e+00,8.666666666666666963e-01
2.103932551446028754e+00,9.333333333333333481e-01
2.543923170955965318e+00,1.000000000000000000e+00
