Error,ECDF
2.090842635338599487e-01,6.666666666666666574e-02
5.063852167574639518e-01,1.333333333333333315e-01
5.778090709517694767e-01,2.000000000000000111e-01
7.846789238945559575e-01,2.666666666666666630e-01
8.535270756332997699e-01,3.333333333333333148e-01
1.085098756962058486e+00,4.000000000000000222e-01
1.298574711114005353e+00,4.666666666666666741e-01
1.307239514049700402e+00,5.333333333333333259e-01
1.412949461375805793e+00,5.999999999999999778e-01
1.865654502865361053e+00,6.666666666666666297e-01
2.037545502854380519e+00,7.333333333333332815e-01
2.130846086987177035e+00,8.000000000000000444e-01
2.412307823907096527e+00,8.666666666666666963e-01
2.979480963288869688e+00,9.333333333333333481e-01
3.463470318014768345e+00,1.000000000000000000e+00
