Error,ECDF
1.253526687713377163e-01,6.666666666666666574e-02
4.354492011396591811e-01,1.333333333333333315e-01
4.989029740436701776e-01,2.000000000000000111e-01
5.680770685650795571e-01,2.666666666666666630e-01
6.128830467715621344e-01,3.333333333333333148e-01
6.706132658591981155e-01,4.000000000000000222e-01
7.067192974641653969e-01,4.666666666666666741e-01
7.903262595563717019e-01,5.333333333333333259e-01
9.085182090341961114e-01,5.999999999999999778e-01
9.322568866950439181e-01,6.666666666666666297e-01
9.605933604888671207e-01,7.333333333333332815e-01
1.019635518584563361e+00,8.000000000000000444e-01
1.440563907518920495e+00,8.666666666666666963e-01
1.645588385228135664e+00,9.333333333333333481e-01
2.797810407686352363e+00,1.000000000000000000e+00
