Error,ECDF
3.703666092607242888e-01,6.666666666666666574e-02
4.802573755183691673e-01,1.333333333333333315e-01
5.444418426192219052e-01,2.000000000000000111e-01
7.271460283091922827e-01,2.666666666666666630e-01
8.237841407425355866e-01,3.333333333333333148e-01
9.053625184176782303e-01,4.000000000000000222e-01
9.699478291579611833e-01,4.666666666666666741e-01
1.062093908016452648e+00,5.333333333333333259e-01
1.064880324845685511e+00,5.999999999999999778e-01
1.316548508945768692e+00,6.666666666666666297e-01
1.325497123533054600e+00,7.333333333333332815e-01
1.496975827437098339e+00,8.000000000000000444e-01
1.783172871073002153e+00,8.666666666666666963e-01
1.889824627153898540e+00,9.333333333333333481e-01
2.385584549225726381e+00,1.000000000000000000e+00
