Error,ECDF
1.614369177847461700e-01,6.666666666666666574e-02
2.450744857731390891e-01,1.333333333333333315e-01
2.593239420802862516e-01,2.000000000000000111e-01
3.777098801211704604e-01,2.666666666666666630e-01
4.439294146963183585e-01,3.333333333333333148e-01
7.190068193079545145e-01,4.000000000000000222e-01
8.265102418057517220e-01,4.666666666666666741e-01
8.833945291605952432e-01,5.333333333333333259e-01
9.471660928907450483e-01,5.999999999999999778e-01
9.556067087097914747e-01,6.666666666666666297e-01
9.900195778077509612e-01,7.333333333333332815e-01
1.190396077006885989e+00,8.000000000000000444e-01
1.592222025015440634e+00,8.666666666666666963e-01
1.926225338165877154e+00,9.333333333333333481e-01
2.202451553430117226e+00,1.000000000000000000e+00
