Error,ECDF
1.270772234609730544e-01,6.666666666666666574e-02
1.489187355794187873e-01,1.333333333333333315e-01
2.262874669194321897e-01,2.000000000000000111e-01
2.748723511688958010e-01,2.666666666666666630e-01
3.763312346891987681e-01,3.333333333333333148e-01
4.993054328540398323e-01,4.000000000000000222e-01
5.227168835981645945e-01,4.666666666666666741e-01
5.621916247621340235e-01,5.333333333333333259e-01
6.501399263607696710e-01,5.999999999999999778e-01
7.424447288652565868e-01,6.666666666666666297e-01
1.343514388450710140e+00,7.333333333333332815e-01
1.345169380842595741e+00,8.000000000000000444e-01
1.421842324496258581e+00,8.666666666666666963e-01
1.764982136395056633e+00,9.333333333333333481e-01
2.129669564399042425e+00,1.000000000000000000e+00
