Error,ECDF
2.956273285096799319e-01,6.666666666666666574e-02
5.384752416512712525e-01,1.333333333333333315e-01
5.526880312315641808e-01,2.000000000000000111e-01
5.830003924659910020e-01,2.666666666666666630e-01
5.838814021027304291e-01,3.333333333333333148e-01
5.849592384707563708e-01,4.000000000000000222e-01
7.473161861842930742e-01,4.666666666666666741e-01
7.654047391949174717e-01,5.333333333333333259e-01
8.095786316518278625e-01,5.999999999999999778e-01
1.013549564168242823e+00,6.666666666666666297e-01
1.453444187296706103e+00,7.333333333333332815e-01
1.500086865649702395e+00,8.000000000000000444e-01
1.726503925137361506e+00,8.666666666666666963e-01
1.866582558649471313e+00,9.333333333333333481e-01
2.184557753475621755e+00,1.000000000000000000e+00
