Error,ECDF
6.866695596153910008e-02,6.666666666666666574e-02
2.923391521561248263e-01,1.333333333333333315e-01
5.407641324976042441e-01,2.000000000000000111e-01
6.078460257260400734e-01,2.666666666666666630e-01
7.310651840584192485e-01,3.333333333333333148e-01
7.468936386748282752e-01,4.000000000000000222e-01
9.100417623419702062e-01,4.666666666666666741e-01
9.269815501763318810e-01,5.333333333333333259e-01
9.401991118475743203e-01,5.999999999999999778e-01
9.937804009778572478e-01,6.666666666666666297e-01
1.478464426103744067e+00,7.333333333333332815e-01
1.581998046140653535e+00,8.000000000000000444e-01
1.629628275634285917e+00,8.666666666666666963e-01
1.630527619430000685e+00,9.333333333333333481e-01
1.999066939325085723e+00,1.000000000000000000e+00
