Error,ECDF
2.979626744874712130e-01,6.666666666666666574e-02
4.068556010676183110e-01,1.333333333333333315e-01
4.418461294020578634e-01,2.000000000000000111e-01
4.547365138885727798e-01,2.666666666666666630e-01
5.684651046043300848e-01,3.333333333333333148e-01
7.862750774357627481e-01,4.000000000000000222e-01
9.701102661994217558e-01,4.666666666666666741e-01
1.218237655459923463e+00,5.333333333333333259e-01
1.627984570103832906e+00,5.999999999999999778e-01
1.643993611129922927e+00,6.666666666666666297e-01
1.729106992405881726e+00,7.333333333333332815e-01
1.865262305597260362e+00,8.000000000000000444e-01
2.305229707180666221e+00,8.666666666666666963e-01
2.624341451259222247e+00,9.333333333333333481e-01
3.807751872567167073e+00,1.000000000000000000e+00
