Error,ECDF
1.197972969993431336e-01,2.272727272727272790e-02
1.567012617808087316e-01,4.545454545454545581e-02
1.967467533994357032e-01,6.818181818181817677e-02
1.977343368523569733e-01,9.090909090909091161e-02
4.888507113293508732e-01,1.136363636363636326e-01
4.890334115284927785e-01,1.363636363636363535e-01
4.900282901678036374e-01,1.590909090909090884e-01
5.039494983186398880e-01,1.818181818181818232e-01
5.663563841891202655e-01,2.045454545454545581e-01
6.264810277372178104e-01,2.272727272727272652e-01
6.555105174904801713e-01,2.500000000000000000e-01
7.520214191299162687e-01,2.727272727272727071e-01
8.425031849462599753e-01,2.954545454545454697e-01
9.037065550965263094e-01,3.181818181818181768e-01
9.469814569251272518e-01,3.409090909090908839e-01
9.961995728117809534e-01,3.636363636363636465e-01
1.000646550378742505e+00,3.863636363636363535e-01
1.049157112111968493e+00,4.090909090909091161e-01
1.124583300718206891e+00,4.318181818181818232e-01
1.138389892638232315e+00,4.545454545454545303e-01
1.161634474514103177e+00,4.772727272727272929e-01
1.314786509547207327e+00,5.000000000000000000e-01
1.344392873063991356e+00,5.227272727272727071e-01
1.420639003624403429e+00,5.454545454545454142e-01
1.448915343273359468e+00,5.681818181818182323e-01
1.525767442421548603e+00,5.909090909090909394e-01
1.638040537769788196e+00,6.136363636363636465e-01
1.944679851378568580e+00,6.363636363636363535e-01
1.945845937504808276e+00,6.590909090909090606e-01
2.002143539024181074e+00,6.818181818181817677e-01
2.004049917520938084e+00,7.045454545454545858e-01
2.046551418797089017e+00,7.272727272727272929e-01
2.170786633740064087e+00,7.500000000000000000e-01
2.334874023381405372e+00,7.727272727272727071e-01
2.494807713990621512e+00,7.954545454545454142e-01
2.652280159043221008e+00,8.181818181818182323e-01
3.045298020358240265e+00,8.409090909090909394e-01
3.105571855656177327e+00,8.636363636363636465e-01
3.153434297881226644e+00,8.863636363636363535e-01
3.200856408166099953e+00,9.090909090909090606e-01
3.294105748112152288e+00,9.318181818181817677e-01
4.031702787343148131e+00,9.545454545454545858e-01
4.051134334696322448e+00,9.772727272727272929e-01
4.952522795173249115e+00,1.000000000000000000e+00
