Error,ECDF
1.971116941979317583e-01,2.272727272727272790e-02
2.366544790496737105e-01,4.545454545454545581e-02
3.605880112209333133e-01,6.818181818181817677e-02
3.708554088106579827e-01,9.090909090909091161e-02
4.247350353664089417e-01,1.136363636363636326e-01
5.477391566072092877e-01,1.363636363636363535e-01
6.442829785262036424e-01,1.590909090909090884e-01
6.665596180634053569e-01,1.818181818181818232e-01
7.462216508456503972e-01,2.045454545454545581e-01
7.563856576237519835e-01,2.272727272727272652e-01
7.601690587141407551e-01,2.500000000000000000e-01
8.209025974500365752e-01,2.727272727272727071e-01
8.803310413956845215e-01,2.954545454545454697e-01
9.346328000598809194e-01,3.181818181818181768e-01
1.075861203342858508e+00,3.409090909090908839e-01
1.142331633329517038e+00,3.636363636363636465e-01
1.180398507938735131e+00,3.863636363636363535e-01
1.255517725168734389e+00,4.090909090909091161e-01
1.289289996244323167e+00,4.318181818181818232e-01
1.376463290600120626e+00,4.545454545454545303e-01
1.654572005810997393e+00,4.772727272727272929e-01
1.758701674147406413e+00,5.000000000000000000e-01
1.796772470787548981e+00,5.227272727272727071e-01
1.863246266721438893e+00,5.454545454545454142e-01
1.961623905773890231e+00,5.681818181818182323e-01
1.965124643508973312e+00,5.909090909090909394e-01
1.966178855087531874e+00,6.136363636363636465e-01
1.997078649238740233e+00,6.363636363636363535e-01
2.160208840236848005e+00,6.590909090909090606e-01
2.474438516537662114e+00,6.818181818181817677e-01
2.592641061046023765e+00,7.045454545454545858e-01
2.620780659828558345e+00,7.272727272727272929e-01
2.818369615426993491e+00,7.500000000000000000e-01
2.890655091474373606e+00,7.727272727272727071e-01
2.996679694497191182e+00,7.954545454545454142e-01
3.023534441633025427e+00,8.181818181818182323e-01
3.402146508529428459e+00,8.409090909090909394e-01
3.479359033027257020e+00,8.636363636363636465e-01
3.627872344408277439e+00,8.863636363636363535e-01
3.900757110279011730e+00,9.090909090909090606e-01
3.952119551047982071e+00,9.318181818181817677e-01
3.954690960114133791e+00,9.545454545454545858e-01
3.961801919240940162e+00,9.772727272727272929e-01
4.233428238155100054e+00,1.000000000000000000e+00
