Error,ECDF
8.130452134969536060e-02,2.272727272727272790e-02
2.200012360922189159e-01,4.545454545454545581e-02
2.234965061101616690e-01,6.818181818181817677e-02
2.765205326667610208e-01,9.090909090909091161e-02
3.127038155647240414e-01,1.136363636363636326e-01
3.411368780995872596e-01,1.363636363636363535e-01
4.711044585010965013e-01,1.590909090909090884e-01
4.751600504031692762e-01,1.818181818181818232e-01
4.834946169937622829e-01,2.045454545454545581e-01
5.984366811047441281e-01,2.272727272727272652e-01
6.053383504224419953e-01,2.500000000000000000e-01
6.415002619512267801e-01,2.727272727272727071e-01
7.829305814575291400e-01,2.954545454545454697e-01
8.525594954608588516e-01,3.181818181818181768e-01
8.571522370146568148e-01,3.409090909090908839e-01
8.624736582398981888e-01,3.636363636363636465e-01
8.739269045658868418e-01,3.863636363636363535e-01
9.334982388479635684e-01,4.090909090909091161e-01
9.685916723942035178e-01,4.318181818181818232e-01
9.859925673666327661e-01,4.545454545454545303e-01
1.169546021891838095e+00,4.772727272727272929e-01
1.172748607748647975e+00,5.000000000000000000e-01
1.208203025899072136e+00,5.227272727272727071e-01
1.265673276636627875e+00,5.454545454545454142e-01
1.321126432177109900e+00,5.681818181818182323e-01
1.405256955467996782e+00,5.909090909090909394e-01
1.408811691504908481e+00,6.136363636363636465e-01
1.507240401948025887e+00,6.363636363636363535e-01
1.673520339402362778e+00,6.590909090909090606e-01
1.930220082668383297e+00,6.818181818181817677e-01
1.992928672764746389e+00,7.045454545454545858e-01
2.208411412768475746e+00,7.272727272727272929e-01
2.444414030494792556e+00,7.500000000000000000e-01
2.571514884654920063e+00,7.727272727272727071e-01
2.680897761015931913e+00,7.954545454545454142e-01
2.760189693383853005e+00,8.181818181818182323e-01
3.162954250615436447e+00,8.409090909090909394e-01
3.190718767358756036e+00,8.636363636363636465e-01
3.442626895010216792e+00,8.863636363636363535e-01
3.475641735711924252e+00,9.090909090909090606e-01
3.570394925744952985e+00,9.318181818181817677e-01
3.851090113736511444e+00,9.545454545454545858e-01
3.985768916770511261e+00,9.772727272727272929e-01
4.776664343257088774e+00,1.000000000000000000e+00
