Error,ECDF
1.078387173529941762e-01,2.272727272727272790e-02
1.590682391100227966e-01,4.545454545454545581e-02
2.171861215165611925e-01,6.818181818181817677e-02
3.985770517047877437e-01,9.090909090909091161e-02
4.842907994339464839e-01,1.136363636363636326e-01
5.123161738216904793e-01,1.363636363636363535e-01
5.130690462167810661e-01,1.590909090909090884e-01
5.331575072360991152e-01,1.818181818181818232e-01
5.568813069964142493e-01,2.045454545454545581e-01
5.928689430448204067e-01,2.272727272727272652e-01
6.298801673691311054e-01,2.500000000000000000e-01
6.334480421545759521e-01,2.727272727272727071e-01
6.662246809708347595e-01,2.954545454545454697e-01
7.288242999834085856e-01,3.181818181818181768e-01
7.806750043028150010e-01,3.409090909090908839e-01
8.263407420755731758e-01,3.636363636363636465e-01
9.760864563066989907e-01,3.863636363636363535e-01
1.091477784177383503e+00,4.090909090909091161e-01
1.202910660818192090e+00,4.318181818181818232e-01
1.308194071787538659e+00,4.545454545454545303e-01
1.336437387219375994e+00,4.772727272727272929e-01
1.342230869531206183e+00,5.000000000000000000e-01
1.611062971998367788e+00,5.227272727272727071e-01
1.622361142224812758e+00,5.454545454545454142e-01
1.631661055700358576e+00,5.681818181818182323e-01
1.676665008733755124e+00,5.909090909090909394e-01
1.687793288205494013e+00,6.136363636363636465e-01
1.695512347413477894e+00,6.363636363636363535e-01
1.700199947638158626e+00,6.590909090909090606e-01
1.752158198833662306e+00,6.818181818181817677e-01
1.918010893521970184e+00,7.045454545454545858e-01
1.992886788299790934e+00,7.272727272727272929e-01
1.994145628022204075e+00,7.500000000000000000e-01
2.023922769184060222e+00,7.727272727272727071e-01
2.262851141852804115e+00,7.954545454545454142e-01
2.275951652111847689e+00,8.181818181818182323e-01
2.503570900519571651e+00,8.409090909090909394e-01
2.525008548179136891e+00,8.636363636363636465e-01
2.572173097208856341e+00,8.863636363636363535e-01
2.770984098734142531e+00,9.090909090909090606e-01
2.957552565998720517e+00,9.318181818181817677e-01
3.589309518411869515e+00,9.545454545454545858e-01
3.675822697332551403e+00,9.772727272727272929e-01
5.274456659300343020e+00,1.000000000000000000e+00
