Error,ECDF
8.001086844758367733e-02,2.272727272727272790e-02
3.484233854144968001e-01,4.545454545454545581e-02
4.033109455199381244e-01,6.818181818181817677e-02
4.228828440307842995e-01,9.090909090909091161e-02
4.812172973407692345e-01,1.136363636363636326e-01
4.867883839455488526e-01,1.363636363636363535e-01
4.967072604321266516e-01,1.590909090909090884e-01
5.561919790451094192e-01,1.818181818181818232e-01
6.183126033959454038e-01,2.045454545454545581e-01
6.808988664082537001e-01,2.272727272727272652e-01
7.224062455435045216e-01,2.500000000000000000e-01
7.356332679092743021e-01,2.727272727272727071e-01
7.722475911398686277e-01,2.954545454545454697e-01
8.373961761113416502e-01,3.181818181818181768e-01
9.083089620535702569e-01,3.409090909090908839e-01
1.106744912160337435e+00,3.636363636363636465e-01
1.140571504992292429e+00,3.863636363636363535e-01
1.198466369946168619e+00,4.090909090909091161e-01
1.299550103377705490e+00,4.318181818181818232e-01
1.322975082479404207e+00,4.545454545454545303e-01
1.336029463590239663e+00,4.772727272727272929e-01
1.346979386988368388e+00,5.000000000000000000e-01
1.478407245132516756e+00,5.227272727272727071e-01
1.499391168907653116e+00,5.454545454545454142e-01
1.597798481674837179e+00,5.681818181818182323e-01
1.644568873577619605e+00,5.909090909090909394e-01
1.661822712880239861e+00,6.136363636363636465e-01
1.750329189875729607e+00,6.363636363636363535e-01
1.763297545002249000e+00,6.590909090909090606e-01
1.836239535661589040e+00,6.818181818181817677e-01
1.983663308945863513e+00,7.045454545454545858e-01
2.118036822905690730e+00,7.272727272727272929e-01
2.157500421280748704e+00,7.500000000000000000e-01
2.339179444056874946e+00,7.727272727272727071e-01
2.436686157288366683e+00,7.954545454545454142e-01
2.824423106537339301e+00,8.181818181818182323e-01
3.171765042576579319e+00,8.409090909090909394e-01
3.175953118913322992e+00,8.636363636363636465e-01
3.276997502562579268e+00,8.863636363636363535e-01
3.398885470664322561e+00,9.090909090909090606e-01
3.457743073357185004e+00,9.318181818181817677e-01
3.585461779333142918e+00,9.545454545454545858e-01
4.278444252867974917e+00,9.772727272727272929e-01
4.346753165355107029e+00,1.000000000000000000e+00
