Error,ECDF
2.374282500510243588e-01,2.272727272727272790e-02
2.413869223665636998e-01,4.545454545454545581e-02
3.461882960166787204e-01,6.818181818181817677e-02
3.699404475128638126e-01,9.090909090909091161e-02
4.348945086483171352e-01,1.136363636363636326e-01
5.198733339989001223e-01,1.363636363636363535e-01
5.379168089195984770e-01,1.590909090909090884e-01
5.479250655190165409e-01,1.818181818181818232e-01
6.426224870845536064e-01,2.045454545454545581e-01
6.910299828120208820e-01,2.272727272727272652e-01
6.977729548403844850e-01,2.500000000000000000e-01
7.287580107619761050e-01,2.727272727272727071e-01
7.411713691349427480e-01,2.954545454545454697e-01
7.963664844935354203e-01,3.181818181818181768e-01
8.035011009155822448e-01,3.409090909090908839e-01
8.253473282026183577e-01,3.636363636363636465e-01
8.457964999661136130e-01,3.863636363636363535e-01
8.549055105241105679e-01,4.090909090909091161e-01
9.819305241041598187e-01,4.318181818181818232e-01
1.036581528098597493e+00,4.545454545454545303e-01
1.071838652604774955e+00,4.772727272727272929e-01
1.098884428376890598e+00,5.000000000000000000e-01
1.217154354116349424e+00,5.227272727272727071e-01
1.229619352510963326e+00,5.454545454545454142e-01
1.511127864738229354e+00,5.681818181818182323e-01
1.525144603378448371e+00,5.909090909090909394e-01
1.533571051586148259e+00,6.136363636363636465e-01
1.617126282632824319e+00,6.363636363636363535e-01
1.808021908230244224e+00,6.590909090909090606e-01
1.971315132054769048e+00,6.818181818181817677e-01
2.050464698336059044e+00,7.045454545454545858e-01
2.161164135361730132e+00,7.272727272727272929e-01
2.204170579512975348e+00,7.500000000000000000e-01
2.326334549781669647e+00,7.727272727272727071e-01
2.439946921278173253e+00,7.954545454545454142e-01
2.547335583199243914e+00,8.181818181818182323e-01
2.856488992385661341e+00,8.409090909090909394e-01
3.048063691089068605e+00,8.636363636363636465e-01
3.113948187499979259e+00,8.863636363636363535e-01
3.114108811743684146e+00,9.090909090909090606e-01
3.371945086956862792e+00,9.318181818181817677e-01
3.423900605573218847e+00,9.545454545454545858e-01
3.737591963780926729e+00,9.772727272727272929e-01
4.811177004795374579e+00,1.000000000000000000e+00
