Error,ECDF
2.698550542175205957e-01,2.272727272727272790e-02
2.849122087757237076e-01,4.545454545454545581e-02
4.202616190435311538e-01,6.818181818181817677e-02
4.284682096360473702e-01,9.090909090909091161e-02
4.350837643171036606e-01,1.136363636363636326e-01
4.388511212178308196e-01,1.363636363636363535e-01
5.469001961213082463e-01,1.590909090909090884e-01
6.358608968190948563e-01,1.818181818181818232e-01
9.368058547649591450e-01,2.045454545454545581e-01
9.962447834467439423e-01,2.272727272727272652e-01
1.008319003411921377e+00,2.500000000000000000e-01
1.011913487312651627e+00,2.727272727272727071e-01
1.060802652285586012e+00,2.954545454545454697e-01
1.117712867064802218e+00,3.181818181818181768e-01
1.137892096592996394e+00,3.409090909090908839e-01
1.253060961319025779e+00,3.636363636363636465e-01
1.297476293334971942e+00,3.863636363636363535e-01
1.335325464893088565e+00,4.090909090909091161e-01
1.338586555972219427e+00,4.318181818181818232e-01
1.356727855135754446e+00,4.545454545454545303e-01
1.358566547737389385e+00,4.772727272727272929e-01
1.418606110185637981e+00,5.000000000000000000e-01
1.893826968501835628e+00,5.227272727272727071e-01
1.935313522026019806e+00,5.454545454545454142e-01
1.975317770779754678e+00,5.681818181818182323e-01
2.284906445807739495e+00,5.909090909090909394e-01
2.375193995642861822e+00,6.136363636363636465e-01
2.561015135455114056e+00,6.363636363636363535e-01
2.762405737803412809e+00,6.590909090909090606e-01
2.785341171690580708e+00,6.818181818181817677e-01
2.853134300013313585e+00,7.045454545454545858e-01
2.887566283490979657e+00,7.272727272727272929e-01
2.924686925409536009e+00,7.500000000000000000e-01
3.017729880677574528e+00,7.727272727272727071e-01
3.052436999360520264e+00,7.954545454545454142e-01
3.159382085875996893e+00,8.181818181818182323e-01
3.321413166040061871e+00,8.409090909090909394e-01
3.488945457839209396e+00,8.636363636363636465e-01
3.557168472454675712e+00,8.863636363636363535e-01
4.062450748928192468e+00,9.090909090909090606e-01
4.270857779761096040e+00,9.318181818181817677e-01
4.991291720427367018e+00,9.545454545454545858e-01
5.178836868795968940e+00,9.772727272727272929e-01
7.612347705382003227e+00,1.000000000000000000e+00
