Error,ECDF
2.350888187142478325e-01,2.040816326530612082e-02
4.600366296200406602e-01,4.081632653061224164e-02
4.986151841325021095e-01,6.122448979591836593e-02
5.596855241854481466e-01,8.163265306122448328e-02
6.237460076096609241e-01,1.020408163265306145e-01
6.872389682832740210e-01,1.224489795918367319e-01
8.111624249133978504e-01,1.428571428571428492e-01
8.654570280515465619e-01,1.632653061224489666e-01
9.124616803579059798e-01,1.836734693877551117e-01
1.010485789010584501e+00,2.040816326530612290e-01
1.018277975509058964e+00,2.244897959183673464e-01
1.247809182359116642e+00,2.448979591836734637e-01
1.274348435371191801e+00,2.653061224489796088e-01
1.358403622290708990e+00,2.857142857142856984e-01
1.360405212391322838e+00,3.061224489795918435e-01
1.637066910333121461e+00,3.265306122448979331e-01
1.804179367098663889e+00,3.469387755102040782e-01
1.990633270146338285e+00,3.673469387755102233e-01
2.217555050844957965e+00,3.877551020408163129e-01
2.332318535361749490e+00,4.081632653061224580e-01
2.441538345483016847e+00,4.285714285714285476e-01
2.464591507809000159e+00,4.489795918367346927e-01
2.519862008040066215e+00,4.693877551020408379e-01
2.556536715029699369e+00,4.897959183673469274e-01
2.961167771146004934e+00,5.102040816326530726e-01
3.081229282591230412e+00,5.306122448979592177e-01
3.129127607651244869e+00,5.510204081632652517e-01
3.509898553443595137e+00,5.714285714285713969e-01
4.033473950337316261e+00,5.918367346938775420e-01
4.370720175711214850e+00,6.122448979591836871e-01
4.621252920710944068e+00,6.326530612244898322e-01
4.730944541881174636e+00,6.530612244897958663e-01
4.887666042536945810e+00,6.734693877551020114e-01
5.288391513632690888e+00,6.938775510204081565e-01
6.066080399880120488e+00,7.142857142857143016e-01
6.531828801053145561e+00,7.346938775510204467e-01
6.898770150214396324e+00,7.551020408163264808e-01
7.799227965789048866e+00,7.755102040816326259e-01
7.913081740158417254e+00,7.959183673469387710e-01
8.470641080544590196e+00,8.163265306122449161e-01
8.582714732037702632e+00,8.367346938775510612e-01
8.901073065197508072e+00,8.571428571428570953e-01
9.315672770067866537e+00,8.775510204081632404e-01
9.600015746406731054e+00,8.979591836734693855e-01
1.169783580008362733e+01,9.183673469387755306e-01
1.197824030344058421e+01,9.387755102040816757e-01
1.274367548076427603e+01,9.591836734693877098e-01
1.401088153900126620e+01,9.795918367346938549e-01
1.639475371896698519e+01,1.000000000000000000e+00
