Error,ECDF
2.857370446596551594e-01,2.040816326530612082e-02
6.201100499724486736e-01,4.081632653061224164e-02
6.659314643806444334e-01,6.122448979591836593e-02
9.333038786345265736e-01,8.163265306122448328e-02
9.547483077164948817e-01,1.020408163265306145e-01
9.919563300192089095e-01,1.224489795918367319e-01
1.201366095173676651e+00,1.428571428571428492e-01
1.247282487750966284e+00,1.632653061224489666e-01
1.598318456119833142e+00,1.836734693877551117e-01
1.617260324759955292e+00,2.040816326530612290e-01
1.654084094286295548e+00,2.244897959183673464e-01
1.667580948141226704e+00,2.448979591836734637e-01
1.835008470443893591e+00,2.653061224489796088e-01
1.923214860734368425e+00,2.857142857142856984e-01
2.009955595784629345e+00,3.061224489795918435e-01
2.118552386840092616e+00,3.265306122448979331e-01
2.606857408604205339e+00,3.469387755102040782e-01
2.652635232601758819e+00,3.673469387755102233e-01
2.653572468369894466e+00,3.877551020408163129e-01
2.957431836659833113e+00,4.081632653061224580e-01
2.982726792939879523e+00,4.285714285714285476e-01
3.098094420988902087e+00,4.489795918367346927e-01
3.134418799933428978e+00,4.693877551020408379e-01
3.498812033954989520e+00,4.897959183673469274e-01
3.621096480620697999e+00,5.102040816326530726e-01
4.175852618584533715e+00,5.306122448979592177e-01
4.408636229214906166e+00,5.510204081632652517e-01
4.499293853086779649e+00,5.714285714285713969e-01
4.951597404196487417e+00,5.918367346938775420e-01
5.144955870596211511e+00,6.122448979591836871e-01
5.314184155098917728e+00,6.326530612244898322e-01
5.352229208209229760e+00,6.530612244897958663e-01
5.882354130272990034e+00,6.734693877551020114e-01
6.028627057562365721e+00,6.938775510204081565e-01
6.136675791347476761e+00,7.142857142857143016e-01
6.203875085777152520e+00,7.346938775510204467e-01
6.585060471119091652e+00,7.551020408163264808e-01
8.469174204138415263e+00,7.755102040816326259e-01
8.719659146390867477e+00,7.959183673469387710e-01
8.943759227880009988e+00,8.163265306122449161e-01
9.221998137143680552e+00,8.367346938775510612e-01
9.862223812988215599e+00,8.571428571428570953e-01
1.016554232412399017e+01,8.775510204081632404e-01
1.127086670833667092e+01,8.979591836734693855e-01
1.168261892153950399e+01,9.183673469387755306e-01
1.391465768485816312e+01,9.387755102040816757e-01
1.418562935025547134e+01,9.591836734693877098e-01
1.520546298924827688e+01,9.795918367346938549e-01
1.701179179984633194e+01,1.000000000000000000e+00
