Error,ECDF
1.959205769758496363e-01,2.040816326530612082e-02
5.237271350632360933e-01,4.081632653061224164e-02
5.981364617562943131e-01,6.122448979591836593e-02
6.189344576489235195e-01,8.163265306122448328e-02
8.754087616498197333e-01,1.020408163265306145e-01
1.038579159479434688e+00,1.224489795918367319e-01
1.154554449956978646e+00,1.428571428571428492e-01
1.367541777308534101e+00,1.632653061224489666e-01
1.600468639318742392e+00,1.836734693877551117e-01
1.837854997411214386e+00,2.040816326530612290e-01
2.004686693633928929e+00,2.244897959183673464e-01
2.005584026965613997e+00,2.448979591836734637e-01
2.080645347035729120e+00,2.653061224489796088e-01
2.191955718881988702e+00,2.857142857142856984e-01
2.238847512975793652e+00,3.061224489795918435e-01
2.357925901765893340e+00,3.265306122448979331e-01
2.646798642649688560e+00,3.469387755102040782e-01
2.802956654406316694e+00,3.673469387755102233e-01
2.833405358562512077e+00,3.877551020408163129e-01
3.060846914037254507e+00,4.081632653061224580e-01
3.378980567082062070e+00,4.285714285714285476e-01
3.692884987474712943e+00,4.489795918367346927e-01
3.831407979643970396e+00,4.693877551020408379e-01
3.942404640036643482e+00,4.897959183673469274e-01
3.967764689330463224e+00,5.102040816326530726e-01
4.170681255001154497e+00,5.306122448979592177e-01
4.961977385117128492e+00,5.510204081632652517e-01
5.030469643835394855e+00,5.714285714285713969e-01
5.083578590401864439e+00,5.918367346938775420e-01
5.108403532605343855e+00,6.122448979591836871e-01
5.152940398135551270e+00,6.326530612244898322e-01
5.479432700902099995e+00,6.530612244897958663e-01
6.039480715362951280e+00,6.734693877551020114e-01
6.424721978643095355e+00,6.938775510204081565e-01
7.186818376874960279e+00,7.142857142857143016e-01
7.230126945029494934e+00,7.346938775510204467e-01
7.578757748916634007e+00,7.551020408163264808e-01
7.863858160397758645e+00,7.755102040816326259e-01
8.137593473662075638e+00,7.959183673469387710e-01
8.383731777980113264e+00,8.163265306122449161e-01
9.337483501029705479e+00,8.367346938775510612e-01
1.054249397264015364e+01,8.571428571428570953e-01
1.117223785900108979e+01,8.775510204081632404e-01
1.118973775022281814e+01,8.979591836734693855e-01
1.142788802526968261e+01,9.183673469387755306e-01
1.162915234829955757e+01,9.387755102040816757e-01
1.238203129042749318e+01,9.591836734693877098e-01
1.255814298427543640e+01,9.795918367346938549e-01
1.259243931148496110e+01,1.000000000000000000e+00
