Error,ECDF
2.165789162401801637e-01,2.040816326530612082e-02
3.391062726371664171e-01,4.081632653061224164e-02
4.589033645467970324e-01,6.122448979591836593e-02
4.892306014776513501e-01,8.163265306122448328e-02
5.548001029820781582e-01,1.020408163265306145e-01
6.041502380641443626e-01,1.224489795918367319e-01
6.430187524773239849e-01,1.428571428571428492e-01
8.338030283388268016e-01,1.632653061224489666e-01
8.672605312494839902e-01,1.836734693877551117e-01
9.662284631173949645e-01,2.040816326530612290e-01
1.102141327126102244e+00,2.244897959183673464e-01
1.149988032377206038e+00,2.448979591836734637e-01
1.199918245205138678e+00,2.653061224489796088e-01
1.546215144260858043e+00,2.857142857142856984e-01
1.613210646934412518e+00,3.061224489795918435e-01
1.673903115424512311e+00,3.265306122448979331e-01
1.862765218250442834e+00,3.469387755102040782e-01
1.918178465168046243e+00,3.673469387755102233e-01
2.138143462033481601e+00,3.877551020408163129e-01
2.191507955883532421e+00,4.081632653061224580e-01
2.388009393433096150e+00,4.285714285714285476e-01
2.417949280465733430e+00,4.489795918367346927e-01
2.516562559856146297e+00,4.693877551020408379e-01
2.572989792292526001e+00,4.897959183673469274e-01
2.672811051470925126e+00,5.102040816326530726e-01
2.810812586791985535e+00,5.306122448979592177e-01
3.174156125349446800e+00,5.510204081632652517e-01
3.176054681382938227e+00,5.714285714285713969e-01
3.484985447586844476e+00,5.918367346938775420e-01
3.793889329106796104e+00,6.122448979591836871e-01
3.876135132367444669e+00,6.326530612244898322e-01
4.070585905945725891e+00,6.530612244897958663e-01
4.120579101603840222e+00,6.734693877551020114e-01
4.129158291850722584e+00,6.938775510204081565e-01
4.864712798076603839e+00,7.142857142857143016e-01
6.043593054798754416e+00,7.346938775510204467e-01
6.056548908888596650e+00,7.551020408163264808e-01
6.651565083979544823e+00,7.755102040816326259e-01
6.724112096078227019e+00,7.959183673469387710e-01
6.743959142629855741e+00,8.163265306122449161e-01
7.862764919906430450e+00,8.367346938775510612e-01
8.024921806600650243e+00,8.571428571428570953e-01
8.263492342943349556e+00,8.775510204081632404e-01
8.887824229816891020e+00,8.979591836734693855e-01
1.065541369269960370e+01,9.183673469387755306e-01
1.146118898430050592e+01,9.387755102040816757e-01
1.196720992620073076e+01,9.591836734693877098e-01
1.231529005473032967e+01,9.795918367346938549e-01
1.440745005597894668e+01,1.000000000000000000e+00
