Error,ECDF
3.614692310978205869e-01,2.040816326530612082e-02
3.910066834285537696e-01,4.081632653061224164e-02
6.006303018638063929e-01,6.122448979591836593e-02
8.466792614377924853e-01,8.163265306122448328e-02
8.590744472044237190e-01,1.020408163265306145e-01
9.446739183690315844e-01,1.224489795918367319e-01
1.035857016739361036e+00,1.428571428571428492e-01
1.103028142339660400e+00,1.632653061224489666e-01
1.124412513733701768e+00,1.836734693877551117e-01
1.150906513064281267e+00,2.040816326530612290e-01
1.206648838918337407e+00,2.244897959183673464e-01
1.272276063729683271e+00,2.448979591836734637e-01
1.544296131916879755e+00,2.653061224489796088e-01
1.572627356560115874e+00,2.857142857142856984e-01
1.861889828759937915e+00,3.061224489795918435e-01
1.893046771701183406e+00,3.265306122448979331e-01
1.954674725361944088e+00,3.469387755102040782e-01
1.977560721488895945e+00,3.673469387755102233e-01
1.986982532472438834e+00,3.877551020408163129e-01
2.162577985469197106e+00,4.081632653061224580e-01
2.183130402097085199e+00,4.285714285714285476e-01
2.543879151479142120e+00,4.489795918367346927e-01
2.827399295925680622e+00,4.693877551020408379e-01
2.864776412859625143e+00,4.897959183673469274e-01
2.995072930085238561e+00,5.102040816326530726e-01
3.076030821379993618e+00,5.306122448979592177e-01
3.114929032289180721e+00,5.510204081632652517e-01
3.190291605812714426e+00,5.714285714285713969e-01
3.702647209083416602e+00,5.918367346938775420e-01
3.794209398484809537e+00,6.122448979591836871e-01
4.635570802766837417e+00,6.326530612244898322e-01
4.737466707313693348e+00,6.530612244897958663e-01
4.936848054675299302e+00,6.734693877551020114e-01
5.174894205727180285e+00,6.938775510204081565e-01
5.564853822618003321e+00,7.142857142857143016e-01
5.724598036071093077e+00,7.346938775510204467e-01
5.991659937813429870e+00,7.551020408163264808e-01
6.765829408979834092e+00,7.755102040816326259e-01
7.274926451879309752e+00,7.959183673469387710e-01
7.495114038206247109e+00,8.163265306122449161e-01
8.703863419596110873e+00,8.367346938775510612e-01
8.739490339287879550e+00,8.571428571428570953e-01
9.060859923318748343e+00,8.775510204081632404e-01
9.313511111220497796e+00,8.979591836734693855e-01
9.535918736549390928e+00,9.183673469387755306e-01
1.179865857761003056e+01,9.387755102040816757e-01
1.207232618675835845e+01,9.591836734693877098e-01
1.234957090298685678e+01,9.795918367346938549e-01
1.500552045165642312e+01,1.000000000000000000e+00
