Error,ECDF
4.558441231244487191e-01,2.040816326530612082e-02
5.852646504944175598e-01,4.081632653061224164e-02
6.456120777455659487e-01,6.122448979591836593e-02
8.006965389449971493e-01,8.163265306122448328e-02
9.682961242589230855e-01,1.020408163265306145e-01
9.996080518171438500e-01,1.224489795918367319e-01
1.100862252014710219e+00,1.428571428571428492e-01
1.252687274947887008e+00,1.632653061224489666e-01
1.282560035085260175e+00,1.836734693877551117e-01
1.364866379882542224e+00,2.040816326530612290e-01
1.705878050760921472e+00,2.244897959183673464e-01
1.766272766578565356e+00,2.448979591836734637e-01
1.814309842558314179e+00,2.653061224489796088e-01
1.857478304607676600e+00,2.857142857142856984e-01
1.948428560891614980e+00,3.061224489795918435e-01
1.970371531358976913e+00,3.265306122448979331e-01
2.142352747730124740e+00,3.469387755102040782e-01
2.291907869383884577e+00,3.673469387755102233e-01
2.319684993409838025e+00,3.877551020408163129e-01
2.594706563586579584e+00,4.081632653061224580e-01
2.658627933156711087e+00,4.285714285714285476e-01
2.775358453829451566e+00,4.489795918367346927e-01
2.874505830674279228e+00,4.693877551020408379e-01
3.065485118249922980e+00,4.897959183673469274e-01
3.114719257483829828e+00,5.102040816326530726e-01
3.390725208482359587e+00,5.306122448979592177e-01
3.684640508551713989e+00,5.510204081632652517e-01
3.736669989223093680e+00,5.714285714285713969e-01
4.001909656922688185e+00,5.918367346938775420e-01
4.570363128330640734e+00,6.122448979591836871e-01
4.684602345148938696e+00,6.326530612244898322e-01
4.811209978203023319e+00,6.530612244897958663e-01
4.998773736403709478e+00,6.734693877551020114e-01
5.371511198634485673e+00,6.938775510204081565e-01
5.902849734106824009e+00,7.142857142857143016e-01
6.149325852315168817e+00,7.346938775510204467e-01
6.221722833284334619e+00,7.551020408163264808e-01
6.329646990166819087e+00,7.755102040816326259e-01
6.370410101948489334e+00,7.959183673469387710e-01
8.563784218204933296e+00,8.163265306122449161e-01
8.591912315714804294e+00,8.367346938775510612e-01
8.721843249078363058e+00,8.571428571428570953e-01
9.043772205833146671e+00,8.775510204081632404e-01
9.418111058008436842e+00,8.979591836734693855e-01
1.143098736263392468e+01,9.183673469387755306e-01
1.176251425158477204e+01,9.387755102040816757e-01
1.215481200643728066e+01,9.591836734693877098e-01
1.373726040060084763e+01,9.795918367346938549e-01
1.414346700262062129e+01,1.000000000000000000e+00
