Error,ECDF
5.597309842292931270e-01,2.040816326530612082e-02
8.593115767152180728e-01,4.081632653061224164e-02
9.192988258962753179e-01,6.122448979591836593e-02
1.167843900011652947e+00,8.163265306122448328e-02
1.194048614818695508e+00,1.020408163265306145e-01
1.233380862795066868e+00,1.224489795918367319e-01
1.349682422248272617e+00,1.428571428571428492e-01
1.383958962851348451e+00,1.632653061224489666e-01
1.453596077829370836e+00,1.836734693877551117e-01
1.957619957129593358e+00,2.040816326530612290e-01
2.220492808190382750e+00,2.244897959183673464e-01
2.356073035541264904e+00,2.448979591836734637e-01
2.360577501864002947e+00,2.653061224489796088e-01
2.428384194337832813e+00,2.857142857142856984e-01
2.619939333308834772e+00,3.061224489795918435e-01
2.693983346511059640e+00,3.265306122448979331e-01
2.991928639411221003e+00,3.469387755102040782e-01
3.116070891288516886e+00,3.673469387755102233e-01
3.139245470125409554e+00,3.877551020408163129e-01
3.208779154991256100e+00,4.081632653061224580e-01
3.366703250923531510e+00,4.285714285714285476e-01
3.671488635902483200e+00,4.489795918367346927e-01
3.792565421195912556e+00,4.693877551020408379e-01
4.008827896074630637e+00,4.897959183673469274e-01
4.434674574891585230e+00,5.102040816326530726e-01
4.477722638482134698e+00,5.306122448979592177e-01
4.480614184083455243e+00,5.510204081632652517e-01
4.501963365265789996e+00,5.714285714285713969e-01
4.571832081826551430e+00,5.918367346938775420e-01
4.714621328836184233e+00,6.122448979591836871e-01
4.814414181382672631e+00,6.326530612244898322e-01
4.826453630048056276e+00,6.530612244897958663e-01
5.505726467253937884e+00,6.734693877551020114e-01
5.710009381010319629e+00,6.938775510204081565e-01
5.904311330101370103e+00,7.142857142857143016e-01
5.958501613012924025e+00,7.346938775510204467e-01
6.137769319941284607e+00,7.551020408163264808e-01
7.421254198966556359e+00,7.755102040816326259e-01
7.558402027750338092e+00,7.959183673469387710e-01
7.804899879817963182e+00,8.163265306122449161e-01
7.871514259910543210e+00,8.367346938775510612e-01
8.039285999527828963e+00,8.571428571428570953e-01
9.220152873634322788e+00,8.775510204081632404e-01
1.008117063155178883e+01,8.979591836734693855e-01
1.137553669637475018e+01,9.183673469387755306e-01
1.197076437514832392e+01,9.387755102040816757e-01
1.217836156860395569e+01,9.591836734693877098e-01
1.302794620002041093e+01,9.795918367346938549e-01
1.343653148681656084e+01,1.000000000000000000e+00
