x,y,ble_rssi1,ble_rssi2,ble_rssi3,ble_rssi4,sle_rssi1,sle_rssi2,sle_rssi3,sle_rssi4
0.5,1.0,-50.97885614,-51.72903759,-42.1553635,-47.57759647,-50.73425959,-54.80312044,-43.37711468,-48.44154735
0.5,1.5,-51.23184388,-48.56540895,-43.70420645,-55.91110878,-51.75027361,-52.70209499,-42.50772175,-52.09606095
0.5,2.0,-49.11651619,-51.17349891,-45.92754718,-59.87652694,-53.6150321,-52.69198593,-45.60036438,-57.72885809
0.5,3.0,-56.13413974,-51.49188315,-56.85519565,-60.17661342,-49.73627398,-55.8118425,-51.41032164,-57.84624467
0.5,3.5,-49.06702644,-59.18472123,-48.49114058,-57.19928043,-52.60033337,-52.20650209,-49.79880562,-59.79653701
0.5,4.0,-51.40580196,-56.05286014,-47.26427784,-58.67969795,-50.53236276,-58.10786902,-50.78771667,-57.19426744
1.0,0.5,-54.07460861,-54.28157483,-47.14559508,-53.24339392,-57.60610259,-51.56963547,-41.72088181,-49.81404976
1.0,1.0,-56.29776775,-60.11196917,-43.40761057,-56.49655197,-56.23092551,-55.59282533,-41.73279878,-52.6003139
1.0,1.5,-50.22859592,-53.20763563,-44.89143025,-54.41053537,-50.27183323,-54.62885516,-43.51721205,-53.12367165
1.0,2.0,-51.16378821,-63.92481922,-50.19417465,-54.17870402,-52.34992472,-55.07904131,-50.24126758,-53.45009543
1.0,2.5,-57.92789309,-51.58998129,-47.21984156,-53.57250566,-53.74822974,-50.90925899,-45.60701105,-56.09884281
1.0,3.0,-50.69214101,-54.97257798,-48.37528349,-57.98968381,-51.90369181,-52.87188748,-50.41380273,-55.46904534
1.0,3.5,-52.40810195,-49.26110231,-54.36583609,-58.43810104,-49.16720786,-55.92997663,-52.1899296,-56.44298326
1.0,4.0,-49.08458231,-53.00417425,-52.78997079,-59.66520659,-50.56563259,-51.01753097,-50.17332572,-58.43674964
1.0,4.5,-41.95172331,-53.6277126,-52.54481198,-59.3228432,-40.15194418,-51.78195689,-52.9470056,-59.81155124
1.5,0.5,-55.76879781,-53.56871412,-43.41818841,-50.81216818,-54.95459122,-53.42269849,-42.31575246,-54.20244321
