x,y,wifi_rssi1,wifi_rssi2,wifi_rssi3,wifi_rssi4,sle_rssi1,sle_rssi2,sle_rssi3,sle_rssi4,ble_rssi1,ble_rssi2,ble_rssi3,ble_rssi4
0.5,1.0,-53.18425313,-56.7457716,-48.80256524,-58.86717793,-50.73425959,-54.80312044,-43.37711468,-48.44154735,-50.97885614,-51.72903759,-42.1553635,-47.57759647
0.5,1.5,-53.76305205,-54.89273181,-51.85069579,-64.23302562,-51.75027361,-52.70209499,-42.50772175,-52.09606095,-51.23184388,-48.56540895,-43.70420645,-55.91110878
0.5,2.0,-57.13094591,-59.09497209,-47.77713278,-65.77062612,-53.6150321,-52.69198593,-45.60036438,-57.72885809,-49.11651619,-51.17349891,-45.92754718,-59.87652694
0.5,3.0,-57.03178636,-58.17484938,-54.54510897,-66.20146144,-49.73627398,-55.8118425,-51.41032164,-57.84624467,-56.13413974,-51.49188315,-56.85519565,-60.17661342
0.5,3.5,-52.93840517,-58.54670162,-57.90761658,-63.12529588,-52.60033337,-52.20650209,-49.79880562,-59.79653701,-49.06702644,-59.18472123,-48.49114058,-57.19928043
0.5,4.0,-46.6115437,-54.84843277,-54.76314982,-60.98074917,-50.53236276,-58.10786902,-50.78771667,-57.19426744,-51.40580196,-56.05286014,-47.26427784,-58.67969795
1.0,0.5,-61.12914326,-52.9960613,-44.08670519,-50.62382334,-57.60610259,-51.56963547,-41.72088181,-49.81404976,-54.07460861,-54.28157483,-47.14559508,-53.24339392
1.0,1.0,-66.34011194,-56.50208381,-47.23115568,-64.14090801,-56.23092551,-55.59282533,-41.73279878,-52.6003139,-56.29776775,-60.11196917,-43.40761057,-56.49655197
1.0,1.5,-49.33192774,-54.20733607,-57.31528656,-58.78682345,-50.27183323,-54.62885516,-43.51721205,-53.12367165,-50.22859592,-53.20763563,-44.89143025,-54.41053537
1.0,2.0,-62.34420745,-49.31446051,-56.11403708,-55.37072261,-52.34992472,-55.07904131,-50.24126758,-53.45009543,-51.16378821,-63.92481922,-50.19417465,-54.17870402
1.0,2.5,-57.71481817,-54.89397512,-49.45904123,-58.53972873,-53.74822974,-50.90925899,-45.60701105,-56.09884281,-57.92789309,-51.58998129,-47.21984156,-53.57250566
