x,y,ble_rssi1,ble_rssi2,ble_rssi3,ble_rssi4,ble_rssi5,ble_rssi6,ble_rssi7,ble_rssi8,sle_rssi1,sle_rssi2,sle_rssi3,sle_rssi4,sle_rssi5,sle_rssi6,sle_rssi7,sle_rssi8
2,2,-72.85738622,-62.9206963,-67.04962875,-62.33957954,-64.73649513,-52.06607388,-64.37661745,-67.94077976,-72.66009677,-63.74668318,-65.44369263,-61.96361901,-66.30452518,-48.44197772,-65.38643293,-65.78091799
2,3,-74.91470975,-60.82391346,-66.24502095,-62.16896388,-64.29759181,-48.73962461,-67.04399024,-67.59836825,-71.28732837,-63.29870689,-65.74814609,-60.49230094,-65.22742911,-48.61330219,-64.72094772,-65.60309491
2,4,-73.76145733,-63.0202078,-69.86193514,-59.94004681,-64.42144281,-53.22839157,-68.81809606,-68.80802239,-70.40475388,-63.77858202,-65.6493231,-60.55814238,-62.36025222,-53.25752664,-63.98589261,-66.40960776
2,5,-66.2387173,-62.97267,-68.72818546,-63.275271,-63.60899908,-55.12911708,-63.56104029,-67.50409483,-63.34766653,-65.98319761,-66.26974817,-58.83321403,-61.77506724,-55.26053261,-62.36621142,-66.58124046
2,6,-66.17148078,-67.70624053,-69.38188593,-53.92959805,-63.43507607,-55.32091168,-63.74509087,-67.45173705,-63.64104999,-69.50766595,-68.09066542,-53.36121977,-62.20726884,-54.68007786,-63.93403411,-67.25438456
2,7,-74.70913402,-61.52299312,-67.17607184,-58.83305922,-65.46875122,-56.01602532,-63.48337569,-68.19659956,-68.8899595,-61.13055743,-67.93105619,-62.24774242,-63.74701542,-55.64377358,-63.59793975,-66.65917594
2,8,-62.64733682,-60.12776227,-67.94808559,-50.6811501,-62.80520934,-55.33753332,-63.81581775,-68.36573818,-60.99503907,-59.41968698,-66.30261967,-49.98576701,-65.18571606,-55.16136879,-60.80342123,-67.89820272
2,9,-66.6837484,-61.78721,-66.73461019,-63.17634925,-66.70684516,-57.96136316,-60.46963342,-71.34945425,-69.68718895,-61.45021032,-65.15586539,-53.53634547,-68.75086545,-56.70451293,-59.2914771,-70.78758848
2,10,-60.94493761,-58.14607368,-66.06301066,-54.06542997,-67.4897663,-56.49489287,-64.45834912,-73.6991426,-60.17448598,-59.46714086,-65.84596616,-54.33095307,-69.9266629,-56.22535054,-63.31078898,-70.98999263
2,11,-64.04112739,-59.07087261,-63.26067462,-54.52422035,-67.61359935,-58.89440935,-62.87183104,-72.08817139,-62.45516896,-58.49260061,-62.66286761,-53.57968245,-71.39250776,-58.54293547,-63.0300244,-73.41983306
