x,y,rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8
2,2,-72.85738622,-62.9206963,-67.04962875,-62.33957954,-64.73649513,-52.06607388,-64.37661745,-67.94077976
2,3,-74.91470975,-60.82391346,-66.24502095,-62.16896388,-64.29759181,-48.73962461,-67.04399024,-67.59836825
2,4,-73.76145733,-63.0202078,-69.86193514,-59.94004681,-64.42144281,-53.22839157,-68.81809606,-68.80802239
2,5,-66.2387173,-62.97267,-68.72818546,-63.275271,-63.60899908,-55.12911708,-63.56104029,-67.50409483
2,6,-66.17148078,-67.70624053,-69.38188593,-53.92959805,-63.43507607,-55.32091168,-63.74509087,-67.45173705
2,7,-74.70913402,-61.52299312,-67.17607184,-58.83305922,-65.46875122,-56.01602532,-63.48337569,-68.19659956
2,8,-62.64733682,-60.12776227,-67.94808559,-50.6811501,-62.80520934,-55.33753332,-63.81581775,-68.36573818
2,9,-66.6837484,-61.78721,-66.73461019,-63.17634925,-66.70684516,-57.96136316,-60.46963342,-71.34945425
2,10,-60.94493761,-58.14607368,-66.06301066,-54.06542997,-67.4897663,-56.49489287,-64.45834912,-73.6991426
2,11,-64.04112739,-59.07087261,-63.26067462,-54.52422035,-67.61359935,-58.89440935,-62.87183104,-72.08817139
2,12,-59.51584807,-64.22758165,-65.74978935,-60.43601054,-69.10420886,-61.53499574,-60.48275432,-71.69456261
2,14,-60.43593586,-61.69432425,-62.61540237,-63.0028123,-70.4062267,-59.96241588,-60.13762853,-73.5139954
3,2,-74.17716273,-64.13952399,-65.45159299,-63.20610822,-62.98343012,-51.18220108,-60.19659592,-73.77496254
3,6,-66.21901199,-63.95773099,-68.67817492,-65.90678211,-60.61484321,-55.79644475,-62.02505605,-70.75706056
3,10,-66.58899283,-57.86628325,-66.90055032,-57.41768972,-67.40945122,-56.17790211,-61.16621699,-67.85885167
3,12,-62.62252172,-57.33146814,-59.99194647,-58.06347863,-73.48704811,-60.49074433,-61.47916288,-74.08844618
3,14,-65.45487339,-60.49126083,-63.57104192,-63.34547518,-68.59437246,-59.44158345,-61.34247812,-75.3323509
4,1,-74.95816927,-65.39642552,-66.40193023,-65.16200281,-61.69249224,-55.98273744,-61.14790325,-66.02832614
4,2,-70.26786431,-65.4268877,-66.81682263,-74.32465144,-60.24305134,-56.02915706,-62.6736045,-70.26655506
