x,y,wifi_rssi1,wifi_rssi2,wifi_rssi3,wifi_rssi4,wifi_rssi5,wifi_rssi6,wifi_rssi7,wifi_rssi8,ble_rssi1,ble_rssi2,ble_rssi3,ble_rssi4,ble_rssi5,ble_rssi6,ble_rssi7,ble_rssi8
1,2,-68.76909127,-64.49273143,-66.74519611,-67.29478056,-97.50151704,-46.00784186,-69.66498169,-63.02348053,-69.78842536,-64.83733924,-64.47266623,-63.42587013,-65.88351894,-46.80021512,-67.12694677,-67.12333235
1,3,-68.30854038,-61.25380276,-67.87345806,-66.26767106,-83.54601781,-47.58712293,-67.73405554,-62.59668335,-72.1898496,-63.72898572,-69.05370141,-61.29975699,-67.89905449,-47.47571385,-67.41704539,-70.7429804
1,5,-62.63139916,-64.31790958,-67.73909976,-54.89679902,-70.09927837,-55.39270341,-62.3623847,-65.25550281,-67.18944779,-64.94440697,-66.11592167,-58.03704528,-66.49662388,-53.52446437,-62.10329258,-68.50894919
1,6,-65.04258736,-65.85557741,-68.40453124,-51.202802,-66.06641293,-56.86614493,-64.4946444,-66.9668601,-66.75262511,-68.72952731,-66.37311054,-53.40799959,-64.42411943,-54.889031,-63.62697255,-68.2906677
1,8,-62.27465775,-58.82226895,-71.0227542,-48.09288763,-69.63418278,-55.63145408,-60.14607911,-65.98250271,-60.85320224,-59.89301893,-66.84522976,-48.80710802,-65.20965809,-55.471506,-62.72131297,-69.98772415
1,9,-67.18684704,-58.89193791,-73.16824945,-57.51731545,-72.26085325,-57.5096966,-61.14474123,-66.23202911,-66.04555818,-60.6490512,-71.08357526,-46.22166913,-67.0489594,-57.8853793,-64.79548087,-73.85129948
1,11,-69.13052424,-59.4759908,-72.15121911,-53.54553265,-69.71629391,-56.98796124,-61.5808733,-70.33983595,-62.24581653,-61.44254693,-66.63662835,-53.05589678,-71.88355941,-61.11612536,-63.83489364,-74.06045847
1,12,-53.89717941,-58.16864048,-72.97927535,-71.94831931,-67.92879458,-61.50833503,-59.63552433,-71.88863812,-60.61174915,-61.31472908,-63.97564323,-57.14134972,-73.2150359,-63.59879783,-61.61350285,-75.99684573
1,14,-54.21664839,-60.54881678,-67.37836191,-61.02378767,-65.31451108,-61.72129398,-60.21758974,-73.69828133,-65.11724059,-66.76304811,-66.46182324,-60.68883552,-73.91630032,-60.35814943,-62.21858051,-69.98174303
1,15,-61.29663517,-60.7523191,-67.81350903,-58.39176502,-68.77265403,-61.50135662,-62.97294439,-71.77973658,-59.99430202,-63.99444513,-64.54719583,-60.05698959,-68.12234569,-60.6735279,-66.76464171,-68.56912604
2,1,-65.70117328,-66.06476267,-88.19344698,-64.62143566,-67.1042968,-47.70045476,-60.90264759,-64.14261809,-70.51412263,-65.76903451,-64.05812944,-75.80626784,-67.82764719,-49.17020155,-61.95141533,-67.50667082
2,2,-68.33188231,-64.5309217,-97.32854249,-64.80665583,-65.52325707,-50.96993718,-68.08454057,-62.52938062,-72.85738622,-62.9206963,-67.04962875,-62.33957954,-64.73649513,-52.06607388,-64.37661745,-67.94077976
2,3,-73.60544653,-63.57819345,-68.52039466,-64.96887909,-66.44364517,-48.16872334,-67.54627414,-65.0571044,-74.91470975,-60.82391346,-66.24502095,-62.16896388,-64.29759181,-48.73962461,-67.04399024,-67.59836825
2,4,-63.08642788,-62.38627755,-67.24887608,-66.28910855,-65.40798028,-51.81931632,-67.62158798,-64.96977193,-73.76145733,-63.0202078,-69.86193514,-59.94004681,-64.42144281,-53.22839157,-68.81809606,-68.80802239
2,5,-61.82785828,-63.33951652,-68.8636012,-55.25301683,-62.49155188,-54.96475975,-62.05142948,-65.49922125,-66.2387173,-62.97267,-68.72818546,-63.275271,-63.60899908,-55.12911708,-63.56104029,-67.50409483
2,6,-62.75307873,-62.42230603,-70.28503973,-60.47441923,-65.81288137,-57.5132351,-61.71309195,-66.33003211,-66.17148078,-67.70624053,-69.38188593,-53.92959805,-63.43507607,-55.32091168,-63.74509087,-67.45173705
2,7,-67.97981104,-59.7952318,-71.78613715,-58.34286424,-64.51936318,-58.4456117,-82.46213638,-66.0624615,-74.70913402,-61.52299312,-67.17607184,-58.83305922,-65.46875122,-56.01602532,-63.48337569,-68.19659956
2,8,-60.24255604,-58.52387031,-71.08804309,-52.95336027,-65.57656223,-55.2943655,-100.0,-65.31222937,-62.64733682,-60.12776227,-67.94808559,-50.6811501,-62.80520934,-55.33753332,-63.81581775,-68.36573818
2,9,-71.60450292,-61.88078684,-71.89633865,-54.3666158,-69.34684221,-58.23006547,-63.59145131,-65.43879956,-66.6837484,-61.78721,-66.73461019,-63.17634925,-66.70684516,-57.96136316,-60.46963342,-71.34945425
2,10,-85.38347223,-59.19814415,-70.7676308,-53.24760382,-66.54735358,-56.56142982,-61.15211301,-68.64980623,-60.94493761,-58.14607368,-66.06301066,-54.06542997,-67.4897663,-56.49489287,-64.45834912,-73.6991426
2,11,-82.90154452,-58.87672146,-65.73150367,-52.36325871,-66.9868296,-58.11521519,-62.57384812,-97.40913871,-64.04112739,-59.07087261,-63.26067462,-54.52422035,-67.61359935,-58.89440935,-62.87183104,-72.08817139
2,12,-70.46015571,-59.91219378,-67.35814553,-57.26714969,-69.63432373,-60.40382269,-60.80098869,-85.3998941,-59.51584807,-64.22758165,-65.74978935,-60.43601054,-69.10420886,-61.53499574,-60.48275432,-71.69456261
2,13,-56.58306407,-57.47547117,-68.01417821,-62.22308008,-69.96252803,-61.62310964,-60.46516396,-70.81091896,-59.04921008,-60.96959222,-61.78816207,-63.98431989,-80.73869125,-61.55688069,-62.43711091,-74.15120476
