point,x,y,RSSI1,RSSI2,RSSI3,RSSI4
1,0.5,0.5,-58,-56,-34,-56
2,0.5,1,-53,-56,-41,-49
3,0.5,1.5,-51,-55,-40,-53
4,0.5,2,-50,-55,-42,-51
5,0.5,2.5,-53,-54,-45,-55
6,0.5,3,-54,-55,-44,-55
7,0.5,3.5,-48,-54,-47,-53
8,0.5,4,-49,-53,-50,-59
9,0.5,4.5,-43,-60,-47,-54
10,1,4.5,-39,-54,-52,-57
11,1,4,-49,-52,-48,-58
12,1,3.5,-53,-53,-50,-56
13,1,3,-55,-52,-47,-56
14,1,2.5,-55,-52,-48,-54
15,1,2,-51,-54,-47,-50
16,1,1.5,-51,-56,-43,-52
17,1,1,-54,-57,-42,-54
18,1,0.5,-56,-56,-46,-48
19,1.5,0.5,-55,-55,-41,-55
20,1.5,1,-55,-54,-47,-53
21,1.5,1.5,-58,-54,-45,-51
22,1.5,2,-51,-52,-50,-55
23,1.5,2.5,-51,-54,-47,-54
24,1.5,3,-49,-51,-51,-53
25,1.5,3.5,-50,-51,-50,-54
26,1.5,4,-47,-52,-52,-57
27,1.5,4.5,-46,-56,-52,-54
28,2,4.5,-49,-50,-51,-54
29,2,4,-49,-56,-51,-50
30,2,3.5,-47,-50,-50,-60
31,2,3,-52,-57,-51,-53
32,2,2.5,-55,-54,-46,-55
33,2,2,-50,-55,-49,-55
34,2,1.5,-54,-53,-49,-50
35,2,1,-57,-54,-47,-47
36,2,0.5,-51,-57,-50,-49
37,2.5,0.5,-52,-57,-51,-49
38,2.5,1,-57,-52,-48,-50
39,2.5,1.5,-54,-51,-50,-55
40,2.5,2,-53,-50,-50,-53
41,2.5,2.5,-50,-54,-50,-51
42,2.5,3,-51,-53,-53,-51
43,2.5,3.5,-51,-50,-48,-51
44,2.5,4,-53,-49,-52,-53
45,2.5,4.5,-50,-49,-52,-51
46,3,4.5,-48,-51,-51,-51
47,3,4,-55,-50,-48,-51
48,3,3.5,-54,-50,-51,-54
49,3,3,-53,-52,-48,-53
50,3,2.5,-53,-50,-52,-48
51,3,2,-54,-51,-52,-52
52,3,1.5,-51,-49,-52,-55
53,3,1,-54,-52,-48,-49
54,3,0.5,-55,-55,-52,-47
55,3.5,0.5,-55,-54,-53,-42
56,3.5,1,-53,-51,-51,-49
57,3.5,1.5,-52,-55,-50,-47
58,3.5,2,-54,-51,-53,-50
59,3.5,2.5,-53,-50,-55,-54
60,3.5,3,-52,-53,-55,-53
61,3.5,3.5,-56,-49,-52,-54
62,3.5,4,-54,-47,-54,-53
63,3.5,4.5,-56,-49,-55,-54
64,4,4.5,-52,-45,-50,-51
65,4,4,-52,-45,-51,-48
66,4,3.5,-55,-50,-50,-47
67,4,3,-57,-48,-51,-48
68,4,2.5,-57,-50,-53,-51
69,4,2,-55,-50,-47,-48
70,4,1.5,-55,-48,-50,-44
71,4,1,-58,-50,-52,-43
72,4,0.5,-53,-58,-49,-45
73,4.5,0.5,-54,-59,-50,-42
74,4.5,1,-58,-51,-52,-44
75,4.5,1.5,-57,-50,-56,-46
76,4.5,2,-59,-49,-51,-48
77,4.5,2.5,-56,-54,-50,-48
78,4.5,3,-56,-49,-55,-44
79,4.5,3.5,-51,-47,-53,-48
80,4.5,4,-53,-45,-54,-47
81,4.5,4.5,-52,-38,-55,-51
