x,y,rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8
2,2,-72.66009677,-63.74668318,-65.44369263,-61.96361901,-66.30452518,-48.44197772,-65.38643293,-65.78091799
2,3,-71.28732837,-63.29870689,-65.74814609,-60.49230094,-65.22742911,-48.61330219,-64.72094772,-65.60309491
2,4,-70.40475388,-63.77858202,-65.6493231,-60.55814238,-62.36025222,-53.25752664,-63.98589261,-66.40960776
2,5,-63.34766653,-65.98319761,-66.26974817,-58.83321403,-61.77506724,-55.26053261,-62.36621142,-66.58124046
2,6,-63.64104999,-69.50766595,-68.09066542,-53.36121977,-62.20726884,-54.68007786,-63.93403411,-67.25438456
2,7,-68.8899595,-61.13055743,-67.93105619,-62.24774242,-63.74701542,-55.64377358,-63.59793975,-66.65917594
2,8,-60.99503907,-59.41968698,-66.30261967,-49.98576701,-65.18571606,-55.16136879,-60.80342123,-67.89820272
2,9,-69.68718895,-61.45021032,-65.15586539,-53.53634547,-68.75086545,-56.70451293,-59.2914771,-70.78758848
2,10,-60.17448598,-59.46714086,-65.84596616,-54.33095307,-69.9266629,-56.22535054,-63.31078898,-70.98999263
2,11,-62.45516896,-58.49260061,-62.66286761,-53.57968245,-71.39250776,-58.54293547,-63.0300244,-73.41983306
2,12,-64.58600166,-62.70340928,-62.42535381,-59.55251887,-71.94573785,-61.60375002,-60.64208998,-73.89109813
2,14,-57.52451016,-61.16383003,-60.54107737,-63.85925759,-68.57791702,-60.65873548,-60.16555677,-74.17381388
3,2,-71.20904241,-64.46499006,-68.00738164,-62.99839927,-62.75051189,-51.59019592,-63.40901665,-69.32868441
3,6,-63.48670839,-65.60936023,-67.91237973,-59.77410319,-61.05175167,-55.35871342,-59.96022133,-69.63088813
3,10,-70.24974937,-59.43972318,-64.47662618,-57.57390563,-68.89389268,-56.75240039,-59.50135042,-69.46340856
3,12,-60.383686,-56.78091984,-58.94323157,-57.33391973,-70.92497151,-61.4569792,-61.58007453,-72.08203349
3,14,-68.40017295,-57.36899486,-59.81920687,-62.09510596,-70.09380214,-59.4589751,-59.79183297,-75.6536657
4,1,-71.0557193,-65.99950296,-69.55132674,-65.04829505,-62.34131258,-56.96368015,-61.58323925,-65.57465405
4,2,-71.64999783,-64.54885471,-68.89731628,-71.39916678,-60.68154658,-56.87659923,-59.47442559,-67.89455726
4,3,-70.22079246,-63.02814177,-68.4709267,-60.42188567,-60.03799093,-54.70746705,-58.23180293,-69.51664625
